Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,kmeans,sequence_dl(euclidean),5,5,"{1: {'blue': '8.06%', 'green': '4.84%', 'red': '76.61%', 'white': '5.65%', 'yellow': '4.84%'}, 2: {'blue': '5.34%', 'green': '6.11%', 'red': '4.58%', 'white': '80.15%', 'yellow': '3.82%'}, 3: {'blue': '6.25%', 'green': '13.02%', 'red': '4.69%', 'white': '5.73%', 'yellow': '70.31%'}, 4: {'blue': '48.78%', 'green': '10.73%', 'red': '15.12%', 'white': '13.66%', 'yellow': '11.71%'}, 5: {'blue': '6.67%', 'green': '61.90%', 'red': '10.48%', 'white': '13.33%', 'yellow': '7.62%'}}",0.6931307,1.0,1.0,76.33587786259542
1,kmeans,sequence_dl(euclidean),5,5,"{1: {'blue': '6.16%', 'green': '5.48%', 'red': '10.96%', 'white': '68.49%', 'yellow': '8.90%'}, 2: {'blue': '65.48%', 'green': '10.71%', 'red': '8.33%', 'white': '8.33%', 'yellow': '7.14%'}, 3: {'blue': '5.22%', 'green': '73.91%', 'red': '6.96%', 'white': '5.22%', 'yellow': '8.70%'}, 4: {'blue': '10.98%', 'green': '8.09%', 'red': '60.69%', 'white': '5.20%', 'yellow': '15.03%'}, 5: {'blue': '2.84%', 'green': '7.09%', 'red': '7.80%', 'white': '11.35%', 'yellow': '70.92%'}}",0.6536329,1.0,1.0,68.69565217391303
2,kmeans,sequence_dl(euclidean),5,5,"{1: {'blue': '5.79%', 'green': '9.47%', 'red': '12.63%', 'white': '63.16%', 'yellow': '8.95%'}, 2: {'blue': '76.92%', 'green': '5.13%', 'red': '5.13%', 'white': '5.13%', 'yellow': '7.69%'}, 3: {'blue': '6.40%', 'green': '7.20%', 'red': '68.00%', 'white': '10.40%', 'yellow': '8.00%'}, 4: {'blue': '8.67%', 'green': '9.33%', 'red': '12.67%', 'white': '6.00%', 'yellow': '63.33%'}, 5: {'blue': '6.67%', 'green': '66.67%', 'red': '12.73%', 'white': '5.45%', 'yellow': '8.48%'}}",0.6360811,1.0,1.0,71.79487179487181
3,kmeans,sequence_dl(euclidean),5,5,"{1: {'blue': '12.92%', 'green': '8.99%', 'red': '15.73%', 'white': '12.36%', 'yellow': '50.00%'}, 2: {'blue': '65.07%', 'green': '9.59%', 'red': '6.16%', 'white': '10.27%', 'yellow': '8.90%'}, 3: {'blue': '10.19%', 'green': '60.51%', 'red': '11.46%', 'white': '5.73%', 'yellow': '12.10%'}, 4: {'blue': '6.84%', 'green': '14.74%', 'red': '55.26%', 'white': '10.53%', 'yellow': '12.63%'}, 5: {'blue': '6.15%', 'green': '9.50%', 'red': '11.17%', 'white': '61.45%', 'yellow': '11.73%'}}",0.590332,0.9514043838547103,0.950758638079191,58.90410958904109
4,kmeans,sequence_dl(euclidean),5,5,"{1: {'blue': '10.98%', 'green': '6.94%', 'red': '10.40%', 'white': '63.58%', 'yellow': '8.09%'}, 2: {'blue': '10.57%', 'green': '62.26%', 'red': '11.32%', 'white': '11.32%', 'yellow': '4.53%'}, 3: {'blue': '6.08%', 'green': '12.16%', 'red': '70.95%', 'white': '4.73%', 'yellow': '6.08%'}, 4: {'blue': '83.33%', 'green': '5.56%', 'red': '0.93%', 'white': '4.63%', 'yellow': '5.56%'}, 5: {'blue': '7.14%', 'green': '7.14%', 'red': '4.76%', 'white': '9.52%', 'yellow': '71.43%'}}",0.7168792,1.0,0.9999999999999999,82.40740740740742
