,Seed,Linkage Method,Cluster Color Percentage,Silhouette Score,Maximum Color Separation
0,0,single,"{1: {'green': '21.95%', 'red': '78.05%'}, 2: {'green': '93.02%', 'red': '6.98%'}}",0.39181198061831046,71.07
1,0,complete,"{1: {'green': '58.33%', 'red': '41.67%'}}",-1.0,0.0
2,0,average,"{1: {'green': '21.95%', 'red': '78.05%'}, 2: {'green': '93.02%', 'red': '6.98%'}}",0.39181198061831046,71.07
3,0,ward,"{1: {'green': '21.95%', 'red': '78.05%'}, 2: {'green': '93.02%', 'red': '6.98%'}}",0.39181198061831046,71.07
4,1,single,"{1: {'green': '18.75%', 'red': '81.25%'}}",-1.0,0.0
5,1,complete,"{1: {'green': '18.75%', 'red': '81.25%'}}",-1.0,0.0
6,1,average,"{1: {'green': '60.0%', 'red': '40.0%'}, 2: {'green': '15.25%', 'red': '84.75%'}}",0.28387251295526006,44.75
7,1,ward,"{1: {'green': '5.77%', 'red': '94.23%'}, 2: {'green': '75.0%', 'red': '25.0%'}}",0.29144361599379687,69.23
8,2,single,"{1: {'green': '64.71%', 'red': '35.29%'}}",-1.0,0.0
9,2,complete,"{1: {'green': '64.71%', 'red': '35.29%'}}",-1.0,0.0
10,2,average,"{1: {'green': '24.32%', 'red': '75.68%'}, 2: {'green': '95.83%', 'red': '4.17%'}}",0.4409306915138108,71.51
11,2,ward,"{1: {'green': '24.32%', 'red': '75.68%'}, 2: {'green': '95.83%', 'red': '4.17%'}}",0.4409306915138108,71.51
12,3,single,"{1: {'green': '7.41%', 'red': '92.59%'}, 2: {'green': '87.76%', 'red': '12.24%'}}",0.4438880575727829,80.35000000000001
13,3,complete,"{1: {'green': '59.21%', 'red': '40.79%'}}",-1.0,0.0
14,3,average,"{1: {'green': '7.41%', 'red': '92.59%'}, 2: {'green': '87.76%', 'red': '12.24%'}}",0.4438880575727829,80.35000000000001
15,3,ward,"{1: {'green': '7.41%', 'red': '92.59%'}, 2: {'green': '87.76%', 'red': '12.24%'}}",0.4438880575727829,80.35000000000001
16,4,single,"{1: {'green': '17.78%', 'red': '82.22%'}, 2: {'green': '90.77%', 'red': '9.23%'}}",0.5388994840579565,72.99
17,4,complete,"{1: {'green': '17.78%', 'red': '82.22%'}, 2: {'green': '90.77%', 'red': '9.23%'}}",0.5388994840579565,72.99
18,4,average,"{1: {'green': '17.78%', 'red': '82.22%'}, 2: {'green': '90.77%', 'red': '9.23%'}}",0.5388994840579565,72.99
19,4,ward,"{1: {'green': '17.78%', 'red': '82.22%'}, 2: {'green': '90.77%', 'red': '9.23%'}}",0.5388994840579565,72.99
20,5,single,"{1: {'green': '93.75%', 'red': '6.25%'}, 2: {'green': '8.33%', 'red': '91.67%'}}",0.439413860349246,85.42
21,5,complete,"{1: {'green': '48.53%', 'red': '51.47%'}}",-1.0,0.0
22,5,average,"{1: {'green': '93.75%', 'red': '6.25%'}, 2: {'green': '8.33%', 'red': '91.67%'}}",0.439413860349246,85.42
23,5,ward,"{1: {'green': '8.33%', 'red': '91.67%'}, 2: {'green': '93.75%', 'red': '6.25%'}}",0.439413860349246,85.42
24,6,single,"{1: {'green': '5.08%', 'red': '94.92%'}, 2: {'green': '83.87%', 'red': '16.13%'}}",0.48343642036795936,78.79
25,6,complete,"{1: {'green': '32.22%', 'red': '67.78%'}}",-1.0,0.0
26,6,average,"{1: {'green': '83.87%', 'red': '16.13%'}, 2: {'green': '5.08%', 'red': '94.92%'}}",0.48343642036795936,78.79
27,6,ward,"{1: {'green': '83.87%', 'red': '16.13%'}, 2: {'green': '5.08%', 'red': '94.92%'}}",0.48343642036795936,78.79
28,7,single,"{1: {'green': '3.17%', 'red': '96.83%'}, 2: {'green': '85.71%', 'red': '14.29%'}}",0.5473513898099549,82.53999999999999
29,7,complete,"{1: {'green': '85.71%', 'red': '14.29%'}, 2: {'green': '3.17%', 'red': '96.83%'}}",0.5473513898099549,82.53999999999999
30,7,average,"{1: {'green': '3.17%', 'red': '96.83%'}, 2: {'green': '85.71%', 'red': '14.29%'}}",0.5473513898099549,82.53999999999999
31,7,ward,"{1: {'green': '85.71%', 'red': '14.29%'}, 2: {'green': '3.17%', 'red': '96.83%'}}",0.5473513898099549,82.53999999999999
32,8,single,"{1: {'green': '82.69%', 'red': '17.31%'}, 2: {'green': '2.63%', 'red': '97.37%'}}",0.500781813456204,80.06
33,8,complete,"{1: {'green': '48.89%', 'red': '51.11%'}}",-1.0,0.0
34,8,average,"{1: {'green': '2.63%', 'red': '97.37%'}, 2: {'green': '82.69%', 'red': '17.31%'}}",0.500781813456204,80.06
35,8,ward,"{1: {'green': '2.63%', 'red': '97.37%'}, 2: {'green': '82.69%', 'red': '17.31%'}}",0.500781813456204,80.06
36,9,single,"{1: {'green': '18.6%', 'red': '81.4%'}, 2: {'green': '93.33%', 'red': '6.67%'}}",0.45813123037929104,74.73
37,9,complete,"{1: {'green': '56.82%', 'red': '43.18%'}}",-1.0,0.0
38,9,average,"{1: {'green': '93.33%', 'red': '6.67%'}, 2: {'green': '18.6%', 'red': '81.4%'}}",0.45813123037929104,74.73
39,9,ward,"{1: {'green': '93.33%', 'red': '6.67%'}, 2: {'green': '18.6%', 'red': '81.4%'}}",0.45813123037929104,74.73
40,10,single,"{1: {'green': '15.0%', 'red': '85.0%'}, 2: {'green': '93.24%', 'red': '6.76%'}}",0.5710862305316261,78.24
41,10,complete,"{1: {'green': '76.6%', 'red': '23.4%'}}",-1.0,0.0
42,10,average,"{1: {'green': '15.0%', 'red': '85.0%'}, 2: {'green': '93.24%', 'red': '6.76%'}}",0.5710862305316261,78.24
43,10,ward,"{1: {'green': '15.0%', 'red': '85.0%'}, 2: {'green': '93.24%', 'red': '6.76%'}}",0.5710862305316261,78.24
44,11,single,"{1: {'green': '84.91%', 'red': '15.09%'}, 2: {'green': '2.13%', 'red': '97.87%'}}",0.5365056246784986,82.78
45,11,complete,"{1: {'green': '46.0%', 'red': '54.0%'}}",-1.0,0.0
46,11,average,"{1: {'green': '84.91%', 'red': '15.09%'}, 2: {'green': '2.13%', 'red': '97.87%'}}",0.5365056246784986,82.78
