Feature,Importance
Visited_Shapes_t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e,0.0
Visited_Shininess_s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y,0.0
