,Seed,Linkage Method,Cluster Color Percentage,Silhouette Score,Maximum Color Separation
0,0,single,"{1: {'green': '50.0%', 'red': '50.0%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.17157097396067983,50.0
1,0,complete,"{1: {'green': '50.43%', 'red': '49.57%'}}",-1.0,0.0
2,0,average,"{1: {'green': '50.0%', 'red': '50.0%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.17157097396067983,50.0
3,0,ward,"{1: {'green': '7.41%', 'red': '92.59%'}, 2: {'green': '88.52%', 'red': '11.48%'}}",0.27138457597938087,81.11
4,1,single,"{1: {'green': '85.94%', 'red': '14.06%'}, 2: {'green': '5.88%', 'red': '94.12%'}}",0.2948646989029749,80.06
5,1,complete,"{1: {'green': '44.7%', 'red': '55.3%'}}",-1.0,0.0
6,1,average,"{1: {'green': '85.94%', 'red': '14.06%'}, 2: {'green': '5.88%', 'red': '94.12%'}}",0.2948646989029749,80.06
7,1,ward,"{1: {'green': '85.94%', 'red': '14.06%'}, 2: {'green': '5.88%', 'red': '94.12%'}}",0.2948646989029749,80.06
8,2,single,"{1: {'green': '0.0%', 'red': '100.0%'}, 2: {'green': '59.46%', 'red': '40.54%'}}",0.2839806844848159,59.46
9,2,complete,"{1: {'green': '58.67%', 'red': '41.33%'}}",-1.0,0.0
10,2,average,"{1: {'green': '0.0%', 'red': '100.0%'}, 2: {'green': '59.46%', 'red': '40.54%'}}",0.2839806844848159,59.46
11,2,ward,"{1: {'green': '10.77%', 'red': '89.23%'}, 2: {'green': '95.29%', 'red': '4.71%'}}",0.3844881339629429,84.52000000000001
12,3,single,"{1: {'green': '6.67%', 'red': '93.33%'}, 2: {'green': '94.64%', 'red': '5.36%'}}",0.4223658214621102,87.97
13,3,complete,"{1: {'green': '55.45%', 'red': '44.55%'}}",-1.0,0.0
14,3,average,"{1: {'green': '6.67%', 'red': '93.33%'}, 2: {'green': '94.64%', 'red': '5.36%'}}",0.4223658214621102,87.97
15,3,ward,"{1: {'green': '6.67%', 'red': '93.33%'}, 2: {'green': '94.64%', 'red': '5.36%'}}",0.4223658214621102,87.97
16,4,single,"{1: {'green': '92.0%', 'red': '8.0%'}, 2: {'green': '13.92%', 'red': '86.08%'}}",0.29346119086182965,78.08
17,4,complete,"{1: {'green': '44.19%', 'red': '55.81%'}}",-1.0,0.0
18,4,average,"{1: {'green': '13.92%', 'red': '86.08%'}, 2: {'green': '92.0%', 'red': '8.0%'}}",0.29346119086182965,78.08
19,4,ward,"{1: {'green': '13.92%', 'red': '86.08%'}, 2: {'green': '92.0%', 'red': '8.0%'}}",0.29346119086182965,78.08
20,5,single,"{1: {'green': '33.33%', 'red': '66.67%'}, 2: {'green': '65.38%', 'red': '34.62%'}}",0.16883603922973905,32.050000000000004
21,5,complete,"{1: {'green': '62.07%', 'red': '37.93%'}}",-1.0,0.0
22,5,average,"{1: {'green': '11.54%', 'red': '88.46%'}, 2: {'green': '83.61%', 'red': '16.39%'}}",0.22771211392818555,72.07
23,5,ward,"{1: {'green': '11.54%', 'red': '88.46%'}, 2: {'green': '83.61%', 'red': '16.39%'}}",0.22771211392818555,72.07
24,6,single,"{1: {'green': '89.74%', 'red': '10.26%'}, 2: {'green': '8.51%', 'red': '91.49%'}}",0.39148305793213667,81.22999999999999
25,6,complete,"{1: {'green': '32.33%', 'red': '67.67%'}}",-1.0,0.0
26,6,average,"{1: {'green': '89.74%', 'red': '10.26%'}, 2: {'green': '8.51%', 'red': '91.49%'}}",0.39148305793213667,81.22999999999999
27,6,ward,"{1: {'green': '89.74%', 'red': '10.26%'}, 2: {'green': '8.51%', 'red': '91.49%'}}",0.39148305793213667,81.22999999999999
28,7,single,"{1: {'green': '34.16%', 'red': '65.84%'}, 2: {'green': '0.0%', 'red': '100.0%'}}",0.2253437583453172,34.16
29,7,complete,"{1: {'green': '33.99%', 'red': '66.01%'}}",-1.0,0.0
30,7,average,"{1: {'green': '93.55%', 'red': '6.45%'}, 2: {'green': '7.8%', 'red': '92.2%'}}",0.441508883480415,85.75
31,7,ward,"{1: {'green': '93.55%', 'red': '6.45%'}, 2: {'green': '7.8%', 'red': '92.2%'}}",0.441508883480415,85.75
32,8,single,"{1: {'green': '0.0%', 'red': '100.0%'}, 2: {'green': '36.7%', 'red': '63.3%'}}",0.30273519350193456,36.7
33,8,complete,"{1: {'green': '35.71%', 'red': '64.29%'}}",-1.0,0.0
34,8,average,"{1: {'green': '92.86%', 'red': '7.14%'}, 2: {'green': '1.43%', 'red': '98.57%'}}",0.3542523510332677,91.42999999999999
35,8,ward,"{1: {'green': '92.86%', 'red': '7.14%'}, 2: {'green': '1.43%', 'red': '98.57%'}}",0.3542523510332677,91.42999999999999
36,9,single,"{1: {'green': '8.89%', 'red': '91.11%'}, 2: {'green': '91.49%', 'red': '8.51%'}}",0.48764223850953475,82.6
37,9,complete,"{1: {'green': '51.09%', 'red': '48.91%'}}",-1.0,0.0
38,9,average,"{1: {'green': '8.89%', 'red': '91.11%'}, 2: {'green': '91.49%', 'red': '8.51%'}}",0.48764223850953475,82.6
39,9,ward,"{1: {'green': '8.89%', 'red': '91.11%'}, 2: {'green': '91.49%', 'red': '8.51%'}}",0.48764223850953475,82.6
40,10,single,"{1: {'green': '5.56%', 'red': '94.44%'}, 2: {'green': '89.47%', 'red': '10.53%'}}",0.3448394939040782,83.91
41,10,complete,"{1: {'green': '69.33%', 'red': '30.67%'}}",-1.0,0.0
42,10,average,"{1: {'green': '5.56%', 'red': '94.44%'}, 2: {'green': '89.47%', 'red': '10.53%'}}",0.3448394939040782,83.91
43,10,ward,"{1: {'green': '5.56%', 'red': '94.44%'}, 2: {'green': '89.47%', 'red': '10.53%'}}",0.3448394939040782,83.91
44,11,single,"{1: {'green': '8.51%', 'red': '91.49%'}, 2: {'green': '90.7%', 'red': '9.3%'}}",0.5000596732214265,82.19
45,11,complete,"{1: {'green': '39.65%', 'red': '60.35%'}}",-1.0,0.0
46,11,average,"{1: {'green': '8.51%', 'red': '91.49%'}, 2: {'green': '90.7%', 'red': '9.3%'}}",0.5000596732214265,82.19
47,11,ward,"{1: {'green': '8.51%', 'red': '91.49%'}, 2: {'green': '90.7%', 'red': '9.3%'}}",0.5000596732214265,82.19
48,12,single,"{1: {'green': '90.7%', 'red': '9.3%'}, 2: {'green': '11.01%', 'red': '88.99%'}}",0.339549862355489,79.69
49,12,complete,"{1: {'green': '33.55%', 'red': '66.45%'}}",-1.0,0.0
50,12,average,"{1: {'green': '90.7%', 'red': '9.3%'}, 2: {'green': '11.01%', 'red': '88.99%'}}",0.339549862355489,79.69
51,12,ward,"{1: {'green': '90.7%', 'red': '9.3%'}, 2: {'green': '11.01%', 'red': '88.99%'}}",0.339549862355489,79.69
52,13,single,"{1: {'green': '0.0%', 'red': '100.0%'}, 2: {'green': '64.35%', 'red': '35.65%'}}",0.2624486721514693,64.35
53,13,complete,"{1: {'green': '62.71%', 'red': '37.29%'}}",-1.0,0.0
54,13,average,"{1: {'green': '0.0%', 'red': '100.0%'}, 2: {'green': '64.35%', 'red': '35.65%'}}",0.2624486721514693,64.35
55,13,ward,"{1: {'green': '92.0%', 'red': '8.0%'}, 2: {'green': '11.63%', 'red': '88.37%'}}",0.24731562745266533,80.37
56,14,single,"{1: {'green': '86.36%', 'red': '13.64%'}, 2: {'green': '6.49%', 'red': '93.51%'}}",0.33648537381756966,79.87
57,14,complete,"{1: {'green': '35.54%', 'red': '64.46%'}}",-1.0,0.0
58,14,average,"{1: {'green': '86.36%', 'red': '13.64%'}, 2: {'green': '6.49%', 'red': '93.51%'}}",0.33648537381756966,79.87
