,Linkage Method,Distance Metric,Number of Clusters,Color Distribution Summary
0,single,Jaccard,2,"{1: {'green': 26, 'red': 894}, 2: {'green': 857, 'red': 22}}"
1,complete,Jaccard,2,"{1: {'red': 916, 'green': 883}}"
2,average,Jaccard,2,"{1: {'green': 26, 'red': 894}, 2: {'green': 857, 'red': 22}}"
3,ward,Jaccard,2,"{1: {'green': 853, 'red': 19}, 2: {'green': 30, 'red': 897}}"
