,Seed,Linkage Method,Cluster Color Percentage,Silhouette Score,Maximum Color Separation
0,0,single,"{1: {'green': '95.36%', 'red': '4.64%'}, 2: {'green': '7.98%', 'red': '92.02%'}}",0.3002394849911622,87.38
1,0,complete,"{1: {'green': '50.0%', 'red': '50.0%'}}",-1.0,0.0
2,0,average,"{1: {'green': '95.36%', 'red': '4.64%'}, 2: {'green': '7.98%', 'red': '92.02%'}}",0.3002394849911622,87.38
3,0,ward,"{1: {'green': '7.55%', 'red': '92.45%'}, 2: {'green': '93.55%', 'red': '6.45%'}}",0.2950355096600353,86.0
4,1,single,"{1: {'green': '4.0%', 'red': '96.0%'}, 2: {'green': '97.32%', 'red': '2.68%'}}",0.3459825195969786,93.32
5,1,complete,"{1: {'green': '66.07%', 'red': '33.93%'}}",-1.0,0.0
6,1,average,"{1: {'green': '4.0%', 'red': '96.0%'}, 2: {'green': '97.32%', 'red': '2.68%'}}",0.3459825195969786,93.32
7,1,ward,"{1: {'green': '4.0%', 'red': '96.0%'}, 2: {'green': '97.32%', 'red': '2.68%'}}",0.3459825195969786,93.32
8,2,single,"{1: {'green': '96.33%', 'red': '3.67%'}, 2: {'green': '5.48%', 'red': '94.52%'}}",0.3270393275832905,90.85
9,2,complete,"{1: {'green': '59.89%', 'red': '40.11%'}}",-1.0,0.0
10,2,average,"{1: {'green': '96.33%', 'red': '3.67%'}, 2: {'green': '5.48%', 'red': '94.52%'}}",0.3270393275832905,90.85
11,2,ward,"{1: {'green': '96.33%', 'red': '3.67%'}, 2: {'green': '5.48%', 'red': '94.52%'}}",0.3270393275832905,90.85
12,3,single,"{1: {'green': '97.77%', 'red': '2.23%'}, 2: {'green': '6.42%', 'red': '93.58%'}}",0.37376032458754826,91.35
13,3,complete,"{1: {'green': '67.87%', 'red': '32.13%'}}",-1.0,0.0
14,3,average,"{1: {'green': '6.42%', 'red': '93.58%'}, 2: {'green': '97.77%', 'red': '2.23%'}}",0.37376032458754826,91.35
15,3,ward,"{1: {'green': '97.75%', 'red': '2.25%'}, 2: {'green': '8.11%', 'red': '91.89%'}}",0.36440390357805535,89.64
16,4,single,"{1: {'green': '94.51%', 'red': '5.49%'}, 2: {'green': '6.38%', 'red': '93.62%'}}",0.25888502039771794,88.13000000000001
17,4,complete,"{1: {'green': '40.95%', 'red': '59.05%'}}",-1.0,0.0
18,4,average,"{1: {'green': '94.51%', 'red': '5.49%'}, 2: {'green': '6.38%', 'red': '93.62%'}}",0.25888502039771794,88.13000000000001
19,4,ward,"{1: {'green': '6.38%', 'red': '93.62%'}, 2: {'green': '94.51%', 'red': '5.49%'}}",0.25888502039771794,88.13000000000001
