,Seed,Linkage Method,Color Distribution
15,3,ward,"{'green': {1: 0, 2: 3}, 'green, green': {1: 0, 2: 3}, 'green, green, green, green, green': {1: 0, 2: 3}, 'green, red, red, red, red, red': {1: 3, 2: 0}, 'red': {1: 1, 2: 0}, 'red, green, green, green, green, green': {1: 0, 2: 2}, 'red, red': {1: 1, 2: 0}, 'red, red, red': {1: 2, 2: 0}, 'red, red, red, red': {1: 2, 2: 0}}"
16,4,single,"{'green': {1: 1, 2: 0}, 'green, green': {1: 2, 2: 0}, 'green, green, green': {1: 2, 2: 0}, 'green, green, green, green': {1: 2, 2: 0}, 'green, green, green, green, green': {1: 2, 2: 0}, 'green, red, red, red, red': {1: 0, 2: 10}, 'red': {1: 0, 2: 1}, 'red, green, green, green, green, green, green': {1: 4, 2: 0}, 'red, red, red': {1: 0, 2: 1}, 'red, red, red, red': {1: 0, 2: 1}}"
17,4,complete,"{'green': {1: 1}, 'green, green': {1: 2}, 'green, green, green': {1: 2}, 'green, green, green, green': {1: 2}, 'green, green, green, green, green': {1: 2}, 'green, red, red, red, red': {1: 10}, 'red': {1: 1}, 'red, green, green, green, green, green, green': {1: 4}, 'red, red, red': {1: 1}, 'red, red, red, red': {1: 1}}"
18,4,average,"{'green': {1: 0, 2: 1}, 'green, green': {1: 0, 2: 2}, 'green, green, green': {1: 0, 2: 2}, 'green, green, green, green': {1: 0, 2: 2}, 'green, green, green, green, green': {1: 0, 2: 2}, 'green, red, red, red, red': {1: 10, 2: 0}, 'red': {1: 1, 2: 0}, 'red, green, green, green, green, green, green': {1: 0, 2: 4}, 'red, red, red': {1: 1, 2: 0}, 'red, red, red, red': {1: 1, 2: 0}}"
19,4,ward,"{'green': {1: 1, 2: 0}, 'green, green': {1: 2, 2: 0}, 'green, green, green': {1: 2, 2: 0}, 'green, green, green, green': {1: 2, 2: 0}, 'green, green, green, green, green': {1: 2, 2: 0}, 'green, red, red, red, red': {1: 0, 2: 10}, 'red': {1: 0, 2: 1}, 'red, green, green, green, green, green, green': {1: 4, 2: 0}, 'red, red, red': {1: 0, 2: 1}, 'red, red, red, red': {1: 0, 2: 1}}"
20,5,single,"{'green': {1: 2, 2: 0}, 'green, green, green': {1: 2, 2: 0}, 'green, green, green, green': {1: 2, 2: 0}, 'green, green, green, green, green': {1: 3, 2: 0}, 'green, red, red, red, red, red': {1: 0, 2: 8}, 'red': {1: 0, 2: 2}, 'red, green, green, green': {1: 1, 2: 0}, 'red, green, green, green, green': {1: 2, 2: 0}, 'red, green, green, green, green, green': {1: 3, 2: 0}, 'red, red': {1: 0, 2: 1}, 'red, red, red': {1: 0, 2: 3}, 'red, red, red, red, red': {1: 0, 2: 1}}"
21,5,complete,"{'green': {1: 2}, 'green, green, green': {1: 2}, 'green, green, green, green': {1: 2}, 'green, green, green, green, green': {1: 3}, 'green, red, red, red, red, red': {1: 8}, 'red': {1: 2}, 'red, green, green, green': {1: 1}, 'red, green, green, green, green': {1: 2}, 'red, green, green, green, green, green': {1: 3}, 'red, red': {1: 1}, 'red, red, red': {1: 3}, 'red, red, red, red, red': {1: 1}}"
22,5,average,"{'green': {1: 0, 2: 2}, 'green, green, green': {1: 0, 2: 2}, 'green, green, green, green': {1: 0, 2: 2}, 'green, green, green, green, green': {1: 0, 2: 3}, 'green, red, red, red, red, red': {1: 8, 2: 0}, 'red': {1: 2, 2: 0}, 'red, green, green, green': {1: 0, 2: 1}, 'red, green, green, green, green': {1: 0, 2: 2}, 'red, green, green, green, green, green': {1: 0, 2: 3}, 'red, red': {1: 1, 2: 0}, 'red, red, red': {1: 3, 2: 0}, 'red, red, red, red, red': {1: 1, 2: 0}}"
23,5,ward,"{'green': {1: 2, 2: 0}, 'green, green, green': {1: 2, 2: 0}, 'green, green, green, green': {1: 2, 2: 0}, 'green, green, green, green, green': {1: 3, 2: 0}, 'green, red, red, red, red, red': {1: 0, 2: 8}, 'red': {1: 0, 2: 2}, 'red, green, green, green': {1: 1, 2: 0}, 'red, green, green, green, green': {1: 2, 2: 0}, 'red, green, green, green, green, green': {1: 3, 2: 0}, 'red, red': {1: 0, 2: 1}, 'red, red, red': {1: 0, 2: 3}, 'red, red, red, red, red': {1: 0, 2: 1}}"
24,6,single,"{'green': {1: 0, 2: 2}, 'green, green': {1: 0, 2: 2}, 'green, green, green': {1: 0, 2: 1}, 'green, green, green, green': {1: 0, 2: 3}, 'green, red, red, red, red, red': {1: 1, 2: 0}, 'green, red, red, red, red, red, red': {1: 3, 2: 0}, 'red': {1: 4, 2: 0}, 'red, green, green, green, green': {1: 0, 2: 7}, 'red, red': {1: 3, 2: 0}, 'red, red, red': {1: 1, 2: 0}, 'red, red, red, red, red': {1: 2, 2: 0}, 'red, red, red, red, red, red': {1: 3, 2: 0}}"
25,6,complete,"{'green': {1: 2}, 'green, green': {1: 2}, 'green, green, green': {1: 1}, 'green, green, green, green': {1: 3}, 'green, red, red, red, red, red': {1: 1}, 'green, red, red, red, red, red, red': {1: 3}, 'red': {1: 4}, 'red, green, green, green, green': {1: 7}, 'red, red': {1: 3}, 'red, red, red': {1: 1}, 'red, red, red, red, red': {1: 2}, 'red, red, red, red, red, red': {1: 3}}"
26,6,average,"{'green': {1: 2, 2: 0}, 'green, green': {1: 2, 2: 0}, 'green, green, green': {1: 1, 2: 0}, 'green, green, green, green': {1: 3, 2: 0}, 'green, red, red, red, red, red': {1: 0, 2: 1}, 'green, red, red, red, red, red, red': {1: 0, 2: 3}, 'red': {1: 0, 2: 4}, 'red, green, green, green, green': {1: 7, 2: 0}, 'red, red': {1: 0, 2: 3}, 'red, red, red': {1: 0, 2: 1}, 'red, red, red, red, red': {1: 0, 2: 2}, 'red, red, red, red, red, red': {1: 0, 2: 3}}"
27,6,ward,"{'green': {1: 2, 2: 0}, 'green, green': {1: 2, 2: 0}, 'green, green, green': {1: 1, 2: 0}, 'green, green, green, green': {1: 3, 2: 0}, 'green, red, red, red, red, red': {1: 0, 2: 1}, 'green, red, red, red, red, red, red': {1: 0, 2: 3}, 'red': {1: 0, 2: 4}, 'red, green, green, green, green': {1: 7, 2: 0}, 'red, red': {1: 0, 2: 3}, 'red, red, red': {1: 0, 2: 1}, 'red, red, red, red, red': {1: 0, 2: 2}, 'red, red, red, red, red, red': {1: 0, 2: 3}}"
28,7,single,"{'green': {1: 0, 2: 5}, 'green, green, green': {1: 0, 2: 1}, 'green, green, green, green': {1: 0, 2: 2}, 'green, red, red, red, red, red, red': {1: 6, 2: 0}, 'red': {1: 3, 2: 0}, 'red, green, green, green, green': {1: 0, 2: 8}, 'red, red, red': {1: 1, 2: 0}, 'red, red, red, red': {1: 2, 2: 0}, 'red, red, red, red, red, red': {1: 2, 2: 0}}"
29,7,complete,"{'green': {1: 5}, 'green, green, green': {1: 1}, 'green, green, green, green': {1: 2}, 'green, red, red, red, red, red, red': {1: 6}, 'red': {1: 3}, 'red, green, green, green, green': {1: 8}, 'red, red, red': {1: 1}, 'red, red, red, red': {1: 2}, 'red, red, red, red, red, red': {1: 2}}"
30,7,average,"{'green': {1: 5, 2: 0}, 'green, green, green': {1: 1, 2: 0}, 'green, green, green, green': {1: 2, 2: 0}, 'green, red, red, red, red, red, red': {1: 0, 2: 6}, 'red': {1: 0, 2: 3}, 'red, green, green, green, green': {1: 8, 2: 0}, 'red, red, red': {1: 0, 2: 1}, 'red, red, red, red': {1: 0, 2: 2}, 'red, red, red, red, red, red': {1: 0, 2: 2}}"
31,7,ward,"{'green': {1: 0, 2: 5}, 'green, green, green': {1: 0, 2: 1}, 'green, green, green, green': {1: 0, 2: 2}, 'green, red, red, red, red, red, red': {1: 6, 2: 0}, 'red': {1: 2, 2: 1}, 'red, green, green, green, green': {1: 0, 2: 8}, 'red, red, red': {1: 1, 2: 0}, 'red, red, red, red': {1: 2, 2: 0}, 'red, red, red, red, red, red': {1: 2, 2: 0}}"
32,8,single,"{'green': {1: 3, 2: 0}, 'green, green': {1: 2, 2: 0}, 'green, green, green': {1: 2, 2: 0}, 'green, red, red, red, red, red': {1: 0, 2: 1}, 'green, red, red, red, red, red, red': {1: 0, 2: 1}, 'red': {1: 0, 2: 7}, 'red, green, green, green, green': {1: 5, 2: 0}, 'red, red': {1: 0, 2: 1}, 'red, red, red': {1: 0, 2: 1}, 'red, red, red, red': {1: 0, 2: 3}, 'red, red, red, red, red': {1: 0, 2: 3}}"
33,8,complete,"{'green': {1: 3}, 'green, green': {1: 2}, 'green, green, green': {1: 2}, 'green, red, red, red, red, red': {1: 1}, 'green, red, red, red, red, red, red': {1: 1}, 'red': {1: 7}, 'red, green, green, green, green': {1: 5}, 'red, red': {1: 1}, 'red, red, red': {1: 1}, 'red, red, red, red': {1: 3}, 'red, red, red, red, red': {1: 3}}"
34,8,average,"{'green': {1: 3, 2: 0}, 'green, green': {1: 2, 2: 0}, 'green, green, green': {1: 2, 2: 0}, 'green, red, red, red, red, red': {1: 0, 2: 1}, 'green, red, red, red, red, red, red': {1: 0, 2: 1}, 'red': {1: 0, 2: 7}, 'red, green, green, green, green': {1: 5, 2: 0}, 'red, red': {1: 0, 2: 1}, 'red, red, red': {1: 0, 2: 1}, 'red, red, red, red': {1: 0, 2: 3}, 'red, red, red, red, red': {1: 0, 2: 3}}"
35,8,ward,"{'green': {1: 3, 2: 0}, 'green, green': {1: 2, 2: 0}, 'green, green, green': {1: 2, 2: 0}, 'green, red, red, red, red, red': {1: 0, 2: 1}, 'green, red, red, red, red, red, red': {1: 0, 2: 1}, 'red': {1: 0, 2: 7}, 'red, green, green, green, green': {1: 5, 2: 0}, 'red, red': {1: 0, 2: 1}, 'red, red, red': {1: 0, 2: 1}, 'red, red, red, red': {1: 0, 2: 3}, 'red, red, red, red, red': {1: 0, 2: 3}}"
36,9,single,"{'green': {1: 0, 2: 5}, 'green, green': {1: 0, 2: 1}, 'green, green, green': {1: 0, 2: 3}, 'green, green, green, green': {1: 0, 2: 2}, 'green, red, red, red, red': {1: 10, 2: 0}, 'red': {1: 2, 2: 0}, 'red, green, green, green, green, green, green': {1: 0, 2: 1}, 'red, red': {1: 1, 2: 0}, 'red, red, red': {1: 1, 2: 0}, 'red, red, red, red': {1: 2, 2: 0}}"
37,9,complete,"{'green': {1: 5}, 'green, green': {1: 1}, 'green, green, green': {1: 3}, 'green, green, green, green': {1: 2}, 'green, red, red, red, red': {1: 10}, 'red': {1: 2}, 'red, green, green, green, green, green, green': {1: 1}, 'red, red': {1: 1}, 'red, red, red': {1: 1}, 'red, red, red, red': {1: 2}}"
38,9,average,"{'green': {1: 0, 2: 5}, 'green, green': {1: 0, 2: 1}, 'green, green, green': {1: 0, 2: 3}, 'green, green, green, green': {1: 0, 2: 2}, 'green, red, red, red, red': {1: 10, 2: 0}, 'red': {1: 2, 2: 0}, 'red, green, green, green, green, green, green': {1: 0, 2: 1}, 'red, red': {1: 1, 2: 0}, 'red, red, red': {1: 1, 2: 0}, 'red, red, red, red': {1: 2, 2: 0}}"
39,9,ward,"{'green': {1: 0, 2: 5}, 'green, green': {1: 0, 2: 1}, 'green, green, green': {1: 0, 2: 3}, 'green, green, green, green': {1: 0, 2: 2}, 'green, red, red, red, red': {1: 10, 2: 0}, 'red': {1: 2, 2: 0}, 'red, green, green, green, green, green, green': {1: 0, 2: 1}, 'red, red': {1: 1, 2: 0}, 'red, red, red': {1: 1, 2: 0}, 'red, red, red, red': {1: 2, 2: 0}}"
40,10,single,"{'green': {1: 4}, 'green, green': {1: 1}, 'green, green, green, green, green': {1: 6}, 'green, green, green, green, green, green': {1: 3}, 'green, red, red, red, red': {1: 4}, 'red, green, green, green, green, green': {1: 1}, 'red, green, green, green, green, green, green': {1: 4}, 'red, red, red': {1: 1}, 'red, red, red, red': {1: 1}}"
41,10,complete,"{'green': {1: 4}, 'green, green': {1: 1}, 'green, green, green, green, green': {1: 6}, 'green, green, green, green, green, green': {1: 3}, 'green, red, red, red, red': {1: 4}, 'red, green, green, green, green, green': {1: 1}, 'red, green, green, green, green, green, green': {1: 4}, 'red, red, red': {1: 1}, 'red, red, red, red': {1: 1}}"
42,10,average,"{'green': {1: 0, 2: 4}, 'green, green': {1: 0, 2: 1}, 'green, green, green, green, green': {1: 0, 2: 6}, 'green, green, green, green, green, green': {1: 0, 2: 3}, 'green, red, red, red, red': {1: 4, 2: 0}, 'red, green, green, green, green, green': {1: 0, 2: 1}, 'red, green, green, green, green, green, green': {1: 0, 2: 4}, 'red, red, red': {1: 1, 2: 0}, 'red, red, red, red': {1: 1, 2: 0}}"
43,10,ward,"{'green': {1: 0, 2: 4}, 'green, green': {1: 0, 2: 1}, 'green, green, green, green, green': {1: 0, 2: 6}, 'green, green, green, green, green, green': {1: 0, 2: 3}, 'green, red, red, red, red': {1: 4, 2: 0}, 'red, green, green, green, green, green': {1: 0, 2: 1}, 'red, green, green, green, green, green, green': {1: 0, 2: 4}, 'red, red, red': {1: 1, 2: 0}, 'red, red, red, red': {1: 1, 2: 0}}"
44,11,single,"{'green': {1: 0, 2: 1}, 'green, green': {1: 0, 2: 2}, 'green, green, green': {1: 0, 2: 1}, 'green, green, green, green': {1: 0, 2: 1}, 'red': {1: 2, 2: 0}, 'red, green, green, green': {1: 0, 2: 2}, 'red, green, green, green, green': {1: 0, 2: 5}, 'red, red': {1: 1, 2: 0}, 'red, red, red': {1: 1, 2: 0}, 'red, red, red, red': {1: 1, 2: 0}, 'red, red, red, red, red': {1: 5, 2: 0}}"
45,11,complete,"{'green': {1: 1}, 'green, green': {1: 2}, 'green, green, green': {1: 1}, 'green, green, green, green': {1: 1}, 'red': {1: 2}, 'red, green, green, green': {1: 2}, 'red, green, green, green, green': {1: 5}, 'red, red': {1: 1}, 'red, red, red': {1: 1}, 'red, red, red, red': {1: 1}, 'red, red, red, red, red': {1: 5}}"
46,11,average,"{'green': {1: 1, 2: 0}, 'green, green': {1: 2, 2: 0}, 'green, green, green': {1: 1, 2: 0}, 'green, green, green, green': {1: 1, 2: 0}, 'red': {1: 0, 2: 2}, 'red, green, green, green': {1: 2, 2: 0}, 'red, green, green, green, green': {1: 5, 2: 0}, 'red, red': {1: 0, 2: 1}, 'red, red, red': {1: 0, 2: 1}, 'red, red, red, red': {1: 0, 2: 1}, 'red, red, red, red, red': {1: 0, 2: 5}}"
47,11,ward,"{'green': {1: 1, 2: 0}, 'green, green': {1: 2, 2: 0}, 'green, green, green': {1: 1, 2: 0}, 'green, green, green, green': {1: 1, 2: 0}, 'red': {1: 0, 2: 2}, 'red, green, green, green': {1: 2, 2: 0}, 'red, green, green, green, green': {1: 5, 2: 0}, 'red, red': {1: 0, 2: 1}, 'red, red, red': {1: 0, 2: 1}, 'red, red, red, red': {1: 0, 2: 1}, 'red, red, red, red, red': {1: 0, 2: 5}}"
48,12,single,"{'green': {1: 5}, 'green, green': {1: 5}, 'green, green, green': {1: 1}, 'green, green, green, green': {1: 4}, 'green, green, green, green, green': {1: 4}, 'green, green, green, green, green, green': {1: 2}, 'green, red, red, red, red': {1: 5}, 'red': {1: 3}, 'red, green, green, green, green, green, green': {1: 1}}"
49,12,complete,"{'green': {1: 5}, 'green, green': {1: 5}, 'green, green, green': {1: 1}, 'green, green, green, green': {1: 4}, 'green, green, green, green, green': {1: 4}, 'green, green, green, green, green, green': {1: 2}, 'green, red, red, red, red': {1: 5}, 'red': {1: 3}, 'red, green, green, green, green, green, green': {1: 1}}"
50,12,average,"{'green': {1: 0, 2: 5}, 'green, green': {1: 0, 2: 5}, 'green, green, green': {1: 0, 2: 1}, 'green, green, green, green': {1: 0, 2: 4}, 'green, green, green, green, green': {1: 0, 2: 4}, 'green, green, green, green, green, green': {1: 0, 2: 2}, 'green, red, red, red, red': {1: 5, 2: 0}, 'red': {1: 3, 2: 0}, 'red, green, green, green, green, green, green': {1: 0, 2: 1}}"
51,12,ward,"{'green': {1: 0, 2: 5}, 'green, green': {1: 0, 2: 5}, 'green, green, green': {1: 0, 2: 1}, 'green, green, green, green': {1: 0, 2: 4}, 'green, green, green, green, green': {1: 0, 2: 4}, 'green, green, green, green, green, green': {1: 0, 2: 2}, 'green, red, red, red, red': {1: 5, 2: 0}, 'red': {1: 3, 2: 0}, 'red, green, green, green, green, green, green': {1: 0, 2: 1}}"
52,13,single,"{'green': {1: 4}, 'green, green': {1: 1}, 'green, red, red, red, red, red, red': {1: 2}, 'red': {1: 1}, 'red, green, green, green, green': {1: 10}, 'red, red': {1: 1}, 'red, red, red': {1: 2}, 'red, red, red, red, red': {1: 2}}"
53,13,complete,"{'green': {1: 4}, 'green, green': {1: 1}, 'green, red, red, red, red, red, red': {1: 2}, 'red': {1: 1}, 'red, green, green, green, green': {1: 10}, 'red, red': {1: 1}, 'red, red, red': {1: 2}, 'red, red, red, red, red': {1: 2}}"
54,13,average,"{'green': {1: 4, 2: 0}, 'green, green': {1: 1, 2: 0}, 'green, red, red, red, red, red, red': {1: 0, 2: 2}, 'red': {1: 0, 2: 1}, 'red, green, green, green, green': {1: 10, 2: 0}, 'red, red': {1: 0, 2: 1}, 'red, red, red': {1: 0, 2: 2}, 'red, red, red, red, red': {1: 0, 2: 2}}"
55,13,ward,"{'green': {1: 0, 2: 4}, 'green, green': {1: 0, 2: 1}, 'green, red, red, red, red, red, red': {1: 2, 2: 0}, 'red': {1: 0, 2: 1}, 'red, green, green, green, green': {1: 0, 2: 10}, 'red, red': {1: 1, 2: 0}, 'red, red, red': {1: 2, 2: 0}, 'red, red, red, red, red': {1: 2, 2: 0}}"
56,14,single,"{'green': {1: 2}, 'green, green': {1: 1}, 'green, green, green, green, green': {1: 1}, 'green, green, green, green, green, green': {1: 1}, 'green, red, red, red, red': {1: 7}, 'red, green, green, green, green, green, green': {1: 4}, 'red, red': {1: 1}, 'red, red, red': {1: 1}}"
57,14,complete,"{'green': {1: 2}, 'green, green': {1: 1}, 'green, green, green, green, green': {1: 1}, 'green, green, green, green, green, green': {1: 1}, 'green, red, red, red, red': {1: 7}, 'red, green, green, green, green, green, green': {1: 4}, 'red, red': {1: 1}, 'red, red, red': {1: 1}}"
