,Seed,Linkage Method,Color Distribution
58,14,average,"{'green': {1: 0, 2: 2}, 'green, green': {1: 0, 2: 1}, 'green, green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green, green': {1: 0, 2: 1}, 'green, red, red, red, red': {1: 7, 2: 0}, 'red, green, green, green, green, green, green': {1: 0, 2: 4}, 'red, red': {1: 1, 2: 0}, 'red, red, red': {1: 1, 2: 0}}"
59,14,ward,"{'green': {1: 0, 2: 2}, 'green, green': {1: 0, 2: 1}, 'green, green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green, green': {1: 0, 2: 1}, 'green, red, red, red, red': {1: 7, 2: 0}, 'red, green, green, green, green, green, green': {1: 0, 2: 4}, 'red, red': {1: 1, 2: 0}, 'red, red, red': {1: 1, 2: 0}}"
60,15,single,"{'green': {1: 0, 2: 3}, 'green, green, green': {1: 0, 2: 2}, 'green, green, green, green': {1: 0, 2: 3}, 'green, red, red, red, red': {1: 7, 2: 0}, 'red': {1: 1, 2: 0}, 'red, green, green, green, green, green': {1: 0, 2: 1}, 'red, green, green, green, green, green, green': {1: 0, 2: 2}, 'red, red, red': {1: 1, 2: 0}}"
61,15,complete,"{'green': {1: 3}, 'green, green, green': {1: 2}, 'green, green, green, green': {1: 3}, 'green, red, red, red, red': {1: 7}, 'red': {1: 1}, 'red, green, green, green, green, green': {1: 1}, 'red, green, green, green, green, green, green': {1: 2}, 'red, red, red': {1: 1}}"
62,15,average,"{'green': {1: 0, 2: 3}, 'green, green, green': {1: 0, 2: 2}, 'green, green, green, green': {1: 0, 2: 3}, 'green, red, red, red, red': {1: 7, 2: 0}, 'red': {1: 1, 2: 0}, 'red, green, green, green, green, green': {1: 0, 2: 1}, 'red, green, green, green, green, green, green': {1: 0, 2: 2}, 'red, red, red': {1: 1, 2: 0}}"
63,15,ward,"{'green': {1: 0, 2: 3}, 'green, green, green': {1: 0, 2: 2}, 'green, green, green, green': {1: 0, 2: 3}, 'green, red, red, red, red': {1: 7, 2: 0}, 'red': {1: 0, 2: 1}, 'red, green, green, green, green, green': {1: 0, 2: 1}, 'red, green, green, green, green, green, green': {1: 0, 2: 2}, 'red, red, red': {1: 1, 2: 0}}"
64,16,single,"{'green': {1: 4}, 'green, green': {1: 2}, 'green, green, green': {1: 2}, 'green, green, green, green': {1: 4}, 'green, green, green, green, green': {1: 2}, 'green, green, green, green, green, green': {1: 2}, 'green, green, green, green, green, green, green': {1: 1}, 'green, green, green, green, green, green, green, green': {1: 3}, 'green, red, red': {1: 15}, 'red': {1: 1}}"
65,16,complete,"{'green': {1: 4}, 'green, green': {1: 2}, 'green, green, green': {1: 2}, 'green, green, green, green': {1: 4}, 'green, green, green, green, green': {1: 2}, 'green, green, green, green, green, green': {1: 2}, 'green, green, green, green, green, green, green': {1: 1}, 'green, green, green, green, green, green, green, green': {1: 3}, 'green, red, red': {1: 15}, 'red': {1: 1}}"
66,16,average,"{'green': {1: 3, 2: 1}, 'green, green': {1: 2, 2: 0}, 'green, green, green': {1: 2, 2: 0}, 'green, green, green, green': {1: 4, 2: 0}, 'green, green, green, green, green': {1: 2, 2: 0}, 'green, green, green, green, green, green': {1: 2, 2: 0}, 'green, green, green, green, green, green, green': {1: 1, 2: 0}, 'green, green, green, green, green, green, green, green': {1: 3, 2: 0}, 'green, red, red': {1: 15, 2: 0}, 'red': {1: 1, 2: 0}}"
67,16,ward,"{'green': {1: 0, 2: 4}, 'green, green': {1: 0, 2: 2}, 'green, green, green': {1: 0, 2: 2}, 'green, green, green, green': {1: 0, 2: 4}, 'green, green, green, green, green': {1: 0, 2: 2}, 'green, green, green, green, green, green': {1: 0, 2: 2}, 'green, green, green, green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green, green, green, green': {1: 0, 2: 3}, 'green, red, red': {1: 15, 2: 0}, 'red': {1: 1, 2: 0}}"
68,17,single,"{'green': {1: 1, 2: 0}, 'green, green': {1: 2, 2: 0}, 'green, green, green, green': {1: 4, 2: 0}, 'green, red, red, red, red, red': {1: 0, 2: 4}, 'red': {1: 0, 2: 4}, 'red, green, green, green, green, green': {1: 5, 2: 0}, 'red, red': {1: 0, 2: 2}, 'red, red, red, red': {1: 0, 2: 1}, 'red, red, red, red, red': {1: 0, 2: 1}}"
69,17,complete,"{'green': {1: 1}, 'green, green': {1: 2}, 'green, green, green, green': {1: 4}, 'green, red, red, red, red, red': {1: 4}, 'red': {1: 4}, 'red, green, green, green, green, green': {1: 5}, 'red, red': {1: 2}, 'red, red, red, red': {1: 1}, 'red, red, red, red, red': {1: 1}}"
70,17,average,"{'green': {1: 1, 2: 0}, 'green, green': {1: 2, 2: 0}, 'green, green, green, green': {1: 4, 2: 0}, 'green, red, red, red, red, red': {1: 0, 2: 4}, 'red': {1: 0, 2: 4}, 'red, green, green, green, green, green': {1: 5, 2: 0}, 'red, red': {1: 0, 2: 2}, 'red, red, red, red': {1: 0, 2: 1}, 'red, red, red, red, red': {1: 0, 2: 1}}"
71,17,ward,"{'green': {1: 1, 2: 0}, 'green, green': {1: 2, 2: 0}, 'green, green, green, green': {1: 4, 2: 0}, 'green, red, red, red, red, red': {1: 0, 2: 4}, 'red': {1: 0, 2: 4}, 'red, green, green, green, green, green': {1: 5, 2: 0}, 'red, red': {1: 0, 2: 2}, 'red, red, red, red': {1: 0, 2: 1}, 'red, red, red, red, red': {1: 0, 2: 1}}"
72,18,single,"{'green': {1: 0, 2: 3}, 'green, green': {1: 0, 2: 1}, 'green, green, green': {1: 0, 2: 1}, 'green, green, green, green': {1: 0, 2: 4}, 'green, red, red, red, red, red': {1: 6, 2: 0}, 'red, green, green, green, green, green': {1: 0, 2: 4}, 'red, red, red': {1: 4, 2: 0}, 'red, red, red, red': {1: 1, 2: 0}, 'red, red, red, red, red': {1: 2, 2: 0}}"
73,18,complete,"{'green': {1: 3}, 'green, green': {1: 1}, 'green, green, green': {1: 1}, 'green, green, green, green': {1: 4}, 'green, red, red, red, red, red': {1: 6}, 'red, green, green, green, green, green': {1: 4}, 'red, red, red': {1: 4}, 'red, red, red, red': {1: 1}, 'red, red, red, red, red': {1: 2}}"
74,18,average,"{'green': {1: 0, 2: 3}, 'green, green': {1: 0, 2: 1}, 'green, green, green': {1: 0, 2: 1}, 'green, green, green, green': {1: 0, 2: 4}, 'green, red, red, red, red, red': {1: 6, 2: 0}, 'red, green, green, green, green, green': {1: 0, 2: 4}, 'red, red, red': {1: 4, 2: 0}, 'red, red, red, red': {1: 1, 2: 0}, 'red, red, red, red, red': {1: 2, 2: 0}}"
75,18,ward,"{'green': {1: 0, 2: 3}, 'green, green': {1: 0, 2: 1}, 'green, green, green': {1: 0, 2: 1}, 'green, green, green, green': {1: 0, 2: 4}, 'green, red, red, red, red, red': {1: 6, 2: 0}, 'red, green, green, green, green, green': {1: 0, 2: 4}, 'red, red, red': {1: 4, 2: 0}, 'red, red, red, red': {1: 1, 2: 0}, 'red, red, red, red, red': {1: 2, 2: 0}}"
76,19,single,"{'green, green': {1: 1, 2: 0}, 'green, green, green': {1: 2, 2: 0}, 'green, green, green, green': {1: 1, 2: 0}, 'green, red, red, red, red, red, red': {1: 0, 2: 2}, 'red': {1: 0, 2: 2}, 'red, green, green, green, green': {1: 6, 2: 0}, 'red, red': {1: 0, 2: 2}, 'red, red, red': {1: 0, 2: 3}, 'red, red, red, red': {1: 0, 2: 1}, 'red, red, red, red, red': {1: 0, 2: 4}, 'red, red, red, red, red, red': {1: 0, 2: 4}}"
77,19,complete,"{'green, green': {1: 1}, 'green, green, green': {1: 2}, 'green, green, green, green': {1: 1}, 'green, red, red, red, red, red, red': {1: 2}, 'red': {1: 2}, 'red, green, green, green, green': {1: 6}, 'red, red': {1: 2}, 'red, red, red': {1: 3}, 'red, red, red, red': {1: 1}, 'red, red, red, red, red': {1: 4}, 'red, red, red, red, red, red': {1: 4}}"
78,19,average,"{'green, green': {1: 1, 2: 0}, 'green, green, green': {1: 2, 2: 0}, 'green, green, green, green': {1: 1, 2: 0}, 'green, red, red, red, red, red, red': {1: 0, 2: 2}, 'red': {1: 0, 2: 2}, 'red, green, green, green, green': {1: 6, 2: 0}, 'red, red': {1: 0, 2: 2}, 'red, red, red': {1: 0, 2: 3}, 'red, red, red, red': {1: 0, 2: 1}, 'red, red, red, red, red': {1: 0, 2: 4}, 'red, red, red, red, red, red': {1: 0, 2: 4}}"
79,19,ward,"{'green, green': {1: 1, 2: 0}, 'green, green, green': {1: 2, 2: 0}, 'green, green, green, green': {1: 1, 2: 0}, 'green, red, red, red, red, red, red': {1: 0, 2: 2}, 'red': {1: 0, 2: 2}, 'red, green, green, green, green': {1: 6, 2: 0}, 'red, red': {1: 0, 2: 2}, 'red, red, red': {1: 0, 2: 3}, 'red, red, red, red': {1: 0, 2: 1}, 'red, red, red, red, red': {1: 0, 2: 4}, 'red, red, red, red, red, red': {1: 0, 2: 4}}"
80,20,single,"{'green': {1: 2}, 'green, green': {1: 1}, 'green, green, green, green, green': {1: 2}, 'green, green, green, green, green, green': {1: 1}, 'green, red, red, red, red': {1: 6}, 'red': {1: 4}, 'red, green, green, green, green, green, green': {1: 2}, 'red, red, red, red': {1: 2}}"
81,20,complete,"{'green': {1: 2}, 'green, green': {1: 1}, 'green, green, green, green, green': {1: 2}, 'green, green, green, green, green, green': {1: 1}, 'green, red, red, red, red': {1: 6}, 'red': {1: 4}, 'red, green, green, green, green, green, green': {1: 2}, 'red, red, red, red': {1: 2}}"
82,20,average,"{'green': {1: 0, 2: 2}, 'green, green': {1: 0, 2: 1}, 'green, green, green, green, green': {1: 0, 2: 2}, 'green, green, green, green, green, green': {1: 0, 2: 1}, 'green, red, red, red, red': {1: 6, 2: 0}, 'red': {1: 4, 2: 0}, 'red, green, green, green, green, green, green': {1: 0, 2: 2}, 'red, red, red, red': {1: 2, 2: 0}}"
83,20,ward,"{'green': {1: 2, 2: 0}, 'green, green': {1: 1, 2: 0}, 'green, green, green, green, green': {1: 2, 2: 0}, 'green, green, green, green, green, green': {1: 1, 2: 0}, 'green, red, red, red, red': {1: 0, 2: 6}, 'red': {1: 0, 2: 4}, 'red, green, green, green, green, green, green': {1: 2, 2: 0}, 'red, red, red, red': {1: 0, 2: 2}}"
84,21,single,"{'green': {1: 0, 2: 2}, 'green, green, green': {1: 0, 2: 2}, 'green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green': {1: 0, 2: 1}, 'green, red, red, red, red': {1: 13, 2: 0}, 'red, green, green, green, green, green, green': {1: 0, 2: 2}, 'red, red': {1: 2, 2: 0}, 'red, red, red': {1: 1, 2: 0}}"
85,21,complete,"{'green': {1: 2}, 'green, green, green': {1: 2}, 'green, green, green, green': {1: 1}, 'green, green, green, green, green': {1: 1}, 'green, red, red, red, red': {1: 13}, 'red, green, green, green, green, green, green': {1: 2}, 'red, red': {1: 2}, 'red, red, red': {1: 1}}"
86,21,average,"{'green': {1: 0, 2: 2}, 'green, green, green': {1: 0, 2: 2}, 'green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green': {1: 0, 2: 1}, 'green, red, red, red, red': {1: 13, 2: 0}, 'red, green, green, green, green, green, green': {1: 0, 2: 2}, 'red, red': {1: 2, 2: 0}, 'red, red, red': {1: 1, 2: 0}}"
87,21,ward,"{'green': {1: 0, 2: 2}, 'green, green, green': {1: 0, 2: 2}, 'green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green': {1: 0, 2: 1}, 'green, red, red, red, red': {1: 13, 2: 0}, 'red, green, green, green, green, green, green': {1: 0, 2: 2}, 'red, red': {1: 2, 2: 0}, 'red, red, red': {1: 1, 2: 0}}"
88,22,single,"{'green': {1: 3}, 'green, green': {1: 1}, 'green, green, green, green, green': {1: 3}, 'green, red, red, red, red': {1: 3}, 'green, red, red, red, red, red': {1: 1}, 'red': {1: 1}, 'red, green, green, green, green, green': {1: 5}, 'red, red': {1: 2}, 'red, red, red': {1: 2}, 'red, red, red, red': {1: 2}}"
89,22,complete,"{'green': {1: 3}, 'green, green': {1: 1}, 'green, green, green, green, green': {1: 3}, 'green, red, red, red, red': {1: 3}, 'green, red, red, red, red, red': {1: 1}, 'red': {1: 1}, 'red, green, green, green, green, green': {1: 5}, 'red, red': {1: 2}, 'red, red, red': {1: 2}, 'red, red, red, red': {1: 2}}"
90,22,average,"{'green': {1: 0, 2: 3}, 'green, green': {1: 0, 2: 1}, 'green, green, green, green, green': {1: 0, 2: 3}, 'green, red, red, red, red': {1: 3, 2: 0}, 'green, red, red, red, red, red': {1: 1, 2: 0}, 'red': {1: 1, 2: 0}, 'red, green, green, green, green, green': {1: 0, 2: 5}, 'red, red': {1: 2, 2: 0}, 'red, red, red': {1: 2, 2: 0}, 'red, red, red, red': {1: 2, 2: 0}}"
91,22,ward,"{'green': {1: 0, 2: 3}, 'green, green': {1: 0, 2: 1}, 'green, green, green, green, green': {1: 0, 2: 3}, 'green, red, red, red, red': {1: 3, 2: 0}, 'green, red, red, red, red, red': {1: 1, 2: 0}, 'red': {1: 1, 2: 0}, 'red, green, green, green, green, green': {1: 0, 2: 5}, 'red, red': {1: 2, 2: 0}, 'red, red, red': {1: 2, 2: 0}, 'red, red, red, red': {1: 2, 2: 0}}"
92,23,single,"{'green': {1: 4}, 'green, green, green': {1: 1}, 'green, green, green, green': {1: 2}, 'green, green, green, green, green, green': {1: 1}, 'green, red, red, red': {1: 1}, 'green, red, red, red, red': {1: 6}, 'red': {1: 4}, 'red, green, green, green, green, green': {1: 1}, 'red, red': {1: 2}, 'red, red, red': {1: 2}, 'red, red, red, red': {1: 1}}"
93,23,complete,"{'green': {1: 4}, 'green, green, green': {1: 1}, 'green, green, green, green': {1: 2}, 'green, green, green, green, green, green': {1: 1}, 'green, red, red, red': {1: 1}, 'green, red, red, red, red': {1: 6}, 'red': {1: 4}, 'red, green, green, green, green, green': {1: 1}, 'red, red': {1: 2}, 'red, red, red': {1: 2}, 'red, red, red, red': {1: 1}}"
94,23,average,"{'green': {1: 0, 2: 4}, 'green, green, green': {1: 0, 2: 1}, 'green, green, green, green': {1: 0, 2: 2}, 'green, green, green, green, green, green': {1: 0, 2: 1}, 'green, red, red, red': {1: 1, 2: 0}, 'green, red, red, red, red': {1: 6, 2: 0}, 'red': {1: 4, 2: 0}, 'red, green, green, green, green, green': {1: 0, 2: 1}, 'red, red': {1: 2, 2: 0}, 'red, red, red': {1: 2, 2: 0}, 'red, red, red, red': {1: 1, 2: 0}}"
95,23,ward,"{'green': {1: 4, 2: 0}, 'green, green, green': {1: 1, 2: 0}, 'green, green, green, green': {1: 2, 2: 0}, 'green, green, green, green, green, green': {1: 1, 2: 0}, 'green, red, red, red': {1: 0, 2: 1}, 'green, red, red, red, red': {1: 0, 2: 6}, 'red': {1: 1, 2: 3}, 'red, green, green, green, green, green': {1: 1, 2: 0}, 'red, red': {1: 0, 2: 2}, 'red, red, red': {1: 0, 2: 2}, 'red, red, red, red': {1: 0, 2: 1}}"
96,24,single,"{'green': {1: 4, 2: 1}, 'green, green, green': {1: 1, 2: 0}, 'green, green, green, green': {1: 1, 2: 0}, 'green, red, red, red, red, red': {1: 4, 2: 0}, 'red': {1: 3, 2: 0}, 'red, green, green, green, green, green': {1: 4, 2: 0}, 'red, red, red': {1: 4, 2: 0}, 'red, red, red, red': {1: 2, 2: 0}, 'red, red, red, red, red': {1: 1, 2: 0}}"
97,24,complete,"{'green': {1: 5}, 'green, green, green': {1: 1}, 'green, green, green, green': {1: 1}, 'green, red, red, red, red, red': {1: 4}, 'red': {1: 3}, 'red, green, green, green, green, green': {1: 4}, 'red, red, red': {1: 4}, 'red, red, red, red': {1: 2}, 'red, red, red, red, red': {1: 1}}"
98,24,average,"{'green': {1: 0, 2: 5}, 'green, green, green': {1: 0, 2: 1}, 'green, green, green, green': {1: 0, 2: 1}, 'green, red, red, red, red, red': {1: 4, 2: 0}, 'red': {1: 3, 2: 0}, 'red, green, green, green, green, green': {1: 0, 2: 4}, 'red, red, red': {1: 4, 2: 0}, 'red, red, red, red': {1: 2, 2: 0}, 'red, red, red, red, red': {1: 1, 2: 0}}"
99,24,ward,"{'green': {1: 0, 2: 5}, 'green, green, green': {1: 0, 2: 1}, 'green, green, green, green': {1: 0, 2: 1}, 'green, red, red, red, red, red': {1: 4, 2: 0}, 'red': {1: 3, 2: 0}, 'red, green, green, green, green, green': {1: 0, 2: 4}, 'red, red, red': {1: 4, 2: 0}, 'red, red, red, red': {1: 2, 2: 0}, 'red, red, red, red, red': {1: 1, 2: 0}}"
100,25,single,"{'green': {1: 4, 2: 0}, 'green, green, green': {1: 2, 2: 0}, 'green, green, green, green': {1: 1, 2: 0}, 'green, red, red, red, red, red': {1: 0, 2: 8}, 'red': {1: 0, 2: 2}, 'red, green, green, green, green': {1: 1, 2: 0}, 'red, green, green, green, green, green': {1: 3, 2: 0}, 'red, red': {1: 0, 2: 2}, 'red, red, red, red': {1: 0, 2: 1}, 'red, red, red, red, red': {1: 0, 2: 1}}"
101,25,complete,"{'green': {1: 4}, 'green, green, green': {1: 2}, 'green, green, green, green': {1: 1}, 'green, red, red, red, red, red': {1: 8}, 'red': {1: 2}, 'red, green, green, green, green': {1: 1}, 'red, green, green, green, green, green': {1: 3}, 'red, red': {1: 2}, 'red, red, red, red': {1: 1}, 'red, red, red, red, red': {1: 1}}"
102,25,average,"{'green': {1: 0, 2: 4}, 'green, green, green': {1: 0, 2: 2}, 'green, green, green, green': {1: 0, 2: 1}, 'green, red, red, red, red, red': {1: 8, 2: 0}, 'red': {1: 2, 2: 0}, 'red, green, green, green, green': {1: 0, 2: 1}, 'red, green, green, green, green, green': {1: 0, 2: 3}, 'red, red': {1: 2, 2: 0}, 'red, red, red, red': {1: 1, 2: 0}, 'red, red, red, red, red': {1: 1, 2: 0}}"
103,25,ward,"{'green': {1: 2, 2: 2}, 'green, green, green': {1: 2, 2: 0}, 'green, green, green, green': {1: 1, 2: 0}, 'green, red, red, red, red, red': {1: 0, 2: 8}, 'red': {1: 0, 2: 2}, 'red, green, green, green, green': {1: 1, 2: 0}, 'red, green, green, green, green, green': {1: 3, 2: 0}, 'red, red': {1: 0, 2: 2}, 'red, red, red, red': {1: 0, 2: 1}, 'red, red, red, red, red': {1: 0, 2: 1}}"
104,26,single,"{'green': {1: 1}, 'green, red, red, red, red, red, red, red, red': {1: 1}, 'red': {1: 4}, 'red, green, green': {1: 12}, 'red, red': {1: 2}, 'red, red, red': {1: 1}, 'red, red, red, red': {1: 6}, 'red, red, red, red, red': {1: 3}, 'red, red, red, red, red, red': {1: 2}, 'red, red, red, red, red, red, red': {1: 4}, 'red, red, red, red, red, red, red, red': {1: 1}}"
105,26,complete,"{'green': {1: 1}, 'green, red, red, red, red, red, red, red, red': {1: 1}, 'red': {1: 4}, 'red, green, green': {1: 12}, 'red, red': {1: 2}, 'red, red, red': {1: 1}, 'red, red, red, red': {1: 6}, 'red, red, red, red, red': {1: 3}, 'red, red, red, red, red, red': {1: 2}, 'red, red, red, red, red, red, red': {1: 4}, 'red, red, red, red, red, red, red, red': {1: 1}}"
106,26,average,"{'green': {1: 1, 2: 0}, 'green, red, red, red, red, red, red, red, red': {1: 1, 2: 0}, 'red': {1: 3, 2: 1}, 'red, green, green': {1: 12, 2: 0}, 'red, red': {1: 2, 2: 0}, 'red, red, red': {1: 1, 2: 0}, 'red, red, red, red': {1: 6, 2: 0}, 'red, red, red, red, red': {1: 3, 2: 0}, 'red, red, red, red, red, red': {1: 2, 2: 0}, 'red, red, red, red, red, red, red': {1: 4, 2: 0}, 'red, red, red, red, red, red, red, red': {1: 1, 2: 0}}"
107,26,ward,"{'green': {1: 1, 2: 0}, 'green, red, red, red, red, red, red, red, red': {1: 0, 2: 1}, 'red': {1: 0, 2: 4}, 'red, green, green': {1: 12, 2: 0}, 'red, red': {1: 0, 2: 2}, 'red, red, red': {1: 0, 2: 1}, 'red, red, red, red': {1: 0, 2: 6}, 'red, red, red, red, red': {1: 0, 2: 3}, 'red, red, red, red, red, red': {1: 0, 2: 2}, 'red, red, red, red, red, red, red': {1: 0, 2: 4}, 'red, red, red, red, red, red, red, red': {1: 0, 2: 1}}"
108,27,single,"{'green': {1: 0, 2: 6}, 'green, green': {1: 1, 2: 0}, 'green, green, green': {1: 1, 2: 0}, 'green, green, green, green': {1: 3, 2: 0}, 'green, green, green, green, green': {1: 2, 2: 0}, 'green, green, green, green, green, green': {1: 1, 2: 0}, 'green, green, green, green, green, green, green': {1: 3, 2: 0}, 'green, green, green, green, green, green, green, green': {1: 1, 2: 0}, 'green, red, red': {1: 0, 2: 14}}"
109,27,complete,"{'green': {1: 6}, 'green, green': {1: 1}, 'green, green, green': {1: 1}, 'green, green, green, green': {1: 3}, 'green, green, green, green, green': {1: 2}, 'green, green, green, green, green, green': {1: 1}, 'green, green, green, green, green, green, green': {1: 3}, 'green, green, green, green, green, green, green, green': {1: 1}, 'green, red, red': {1: 14}}"
110,27,average,"{'green': {1: 2, 2: 4}, 'green, green': {1: 0, 2: 1}, 'green, green, green': {1: 0, 2: 1}, 'green, green, green, green': {1: 0, 2: 3}, 'green, green, green, green, green': {1: 0, 2: 2}, 'green, green, green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green, green, green': {1: 0, 2: 3}, 'green, green, green, green, green, green, green, green': {1: 0, 2: 1}, 'green, red, red': {1: 0, 2: 14}}"
111,27,ward,"{'green': {1: 0, 2: 6}, 'green, green': {1: 0, 2: 1}, 'green, green, green': {1: 0, 2: 1}, 'green, green, green, green': {1: 0, 2: 3}, 'green, green, green, green, green': {1: 0, 2: 2}, 'green, green, green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green, green, green': {1: 0, 2: 3}, 'green, green, green, green, green, green, green, green': {1: 0, 2: 1}, 'green, red, red': {1: 14, 2: 0}}"
112,28,single,"{'green, red, red, red, red, red, red, red': {1: 1}, 'red': {1: 5}, 'red, green, green': {1: 17}, 'red, red': {1: 1}, 'red, red, red': {1: 1}, 'red, red, red, red': {1: 4}, 'red, red, red, red, red': {1: 1}, 'red, red, red, red, red, red, red': {1: 3}}"
113,28,complete,"{'green, red, red, red, red, red, red, red': {1: 1}, 'red': {1: 5}, 'red, green, green': {1: 17}, 'red, red': {1: 1}, 'red, red, red': {1: 1}, 'red, red, red, red': {1: 4}, 'red, red, red, red, red': {1: 1}, 'red, red, red, red, red, red, red': {1: 3}}"
114,28,average,"{'green, red, red, red, red, red, red, red': {1: 0, 2: 1}, 'red': {1: 2, 2: 3}, 'red, green, green': {1: 0, 2: 17}, 'red, red': {1: 0, 2: 1}, 'red, red, red': {1: 0, 2: 1}, 'red, red, red, red': {1: 0, 2: 4}, 'red, red, red, red, red': {1: 0, 2: 1}, 'red, red, red, red, red, red, red': {1: 0, 2: 3}}"
115,28,ward,"{'green, red, red, red, red, red, red, red': {1: 0, 2: 1}, 'red': {1: 0, 2: 5}, 'red, green, green': {1: 17, 2: 0}, 'red, red': {1: 0, 2: 1}, 'red, red, red': {1: 0, 2: 1}, 'red, red, red, red': {1: 0, 2: 4}, 'red, red, red, red, red': {1: 0, 2: 1}, 'red, red, red, red, red, red, red': {1: 0, 2: 3}}"
116,29,single,"{'green': {1: 3}, 'green, green, green': {1: 1}, 'green, red, red, red, red, red, red, red': {1: 1}, 'red': {1: 3}, 'red, green, green, green': {1: 8}, 'red, red': {1: 3}, 'red, red, red': {1: 2}, 'red, red, red, red': {1: 2}, 'red, red, red, red, red': {1: 3}, 'red, red, red, red, red, red': {1: 1}, 'red, red, red, red, red, red, red': {1: 2}}"
117,29,complete,"{'green': {1: 3}, 'green, green, green': {1: 1}, 'green, red, red, red, red, red, red, red': {1: 1}, 'red': {1: 3}, 'red, green, green, green': {1: 8}, 'red, red': {1: 3}, 'red, red, red': {1: 2}, 'red, red, red, red': {1: 2}, 'red, red, red, red, red': {1: 3}, 'red, red, red, red, red, red': {1: 1}, 'red, red, red, red, red, red, red': {1: 2}}"
118,29,average,"{'green': {1: 3, 2: 0}, 'green, green, green': {1: 1, 2: 0}, 'green, red, red, red, red, red, red, red': {1: 0, 2: 1}, 'red': {1: 0, 2: 3}, 'red, green, green, green': {1: 8, 2: 0}, 'red, red': {1: 0, 2: 3}, 'red, red, red': {1: 0, 2: 2}, 'red, red, red, red': {1: 0, 2: 2}, 'red, red, red, red, red': {1: 0, 2: 3}, 'red, red, red, red, red, red': {1: 0, 2: 1}, 'red, red, red, red, red, red, red': {1: 0, 2: 2}}"
119,29,ward,"{'green': {1: 3, 2: 0}, 'green, green, green': {1: 1, 2: 0}, 'green, red, red, red, red, red, red, red': {1: 0, 2: 1}, 'red': {1: 0, 2: 3}, 'red, green, green, green': {1: 8, 2: 0}, 'red, red': {1: 0, 2: 3}, 'red, red, red': {1: 0, 2: 2}, 'red, red, red, red': {1: 0, 2: 2}, 'red, red, red, red, red': {1: 0, 2: 3}, 'red, red, red, red, red, red': {1: 0, 2: 1}, 'red, red, red, red, red, red, red': {1: 0, 2: 2}}"
120,30,single,"{'green': {1: 2, 2: 1}, 'green, green': {1: 0, 2: 2}, 'green, green, green': {1: 0, 2: 2}, 'green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green': {1: 0, 2: 2}, 'green, green, green, green, green, green': {1: 0, 2: 4}, 'green, red, red, red': {1: 0, 2: 1}, 'green, red, red, red, red': {1: 0, 2: 8}, 'red': {1: 0, 2: 3}, 'red, green, green, green, green, green, green': {1: 0, 2: 2}, 'red, red, red': {1: 0, 2: 2}, 'red, red, red, red': {1: 0, 2: 1}}"
121,30,complete,"{'green': {1: 3}, 'green, green': {1: 2}, 'green, green, green': {1: 2}, 'green, green, green, green': {1: 1}, 'green, green, green, green, green': {1: 2}, 'green, green, green, green, green, green': {1: 4}, 'green, red, red, red': {1: 1}, 'green, red, red, red, red': {1: 8}, 'red': {1: 3}, 'red, green, green, green, green, green, green': {1: 2}, 'red, red, red': {1: 2}, 'red, red, red, red': {1: 1}}"
122,30,average,"{'green': {1: 0, 2: 3}, 'green, green': {1: 0, 2: 2}, 'green, green, green': {1: 0, 2: 2}, 'green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green': {1: 0, 2: 2}, 'green, green, green, green, green, green': {1: 0, 2: 4}, 'green, red, red, red': {1: 1, 2: 0}, 'green, red, red, red, red': {1: 8, 2: 0}, 'red': {1: 3, 2: 0}, 'red, green, green, green, green, green, green': {1: 0, 2: 2}, 'red, red, red': {1: 2, 2: 0}, 'red, red, red, red': {1: 1, 2: 0}}"
123,30,ward,"{'green': {1: 0, 2: 3}, 'green, green': {1: 0, 2: 2}, 'green, green, green': {1: 0, 2: 2}, 'green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green': {1: 0, 2: 2}, 'green, green, green, green, green, green': {1: 0, 2: 4}, 'green, red, red, red': {1: 1, 2: 0}, 'green, red, red, red, red': {1: 8, 2: 0}, 'red': {1: 3, 2: 0}, 'red, green, green, green, green, green, green': {1: 0, 2: 2}, 'red, red, red': {1: 2, 2: 0}, 'red, red, red, red': {1: 1, 2: 0}}"
124,31,single,"{'green': {1: 1}, 'green, green, green': {1: 2}, 'green, red, red, red, red, red, red': {1: 3}, 'red': {1: 3}, 'red, green, green, green, green': {1: 8}, 'red, red': {1: 1}, 'red, red, red': {1: 1}, 'red, red, red, red, red': {1: 4}, 'red, red, red, red, red, red': {1: 3}}"
125,31,complete,"{'green': {1: 1}, 'green, green, green': {1: 2}, 'green, red, red, red, red, red, red': {1: 3}, 'red': {1: 3}, 'red, green, green, green, green': {1: 8}, 'red, red': {1: 1}, 'red, red, red': {1: 1}, 'red, red, red, red, red': {1: 4}, 'red, red, red, red, red, red': {1: 3}}"
