,Seed,Distance Metric,Method,Linkage Method,Cluster Color Percentage,Silhouette Score,Maximum Color Separation
106,26,Jaccard,Hierachical Clustering,average,"{1: {'green': '66.67%', 'red': '33.33%'}, 2: {'green': '0.97%', 'red': '99.03%'}}",0.439878158,65.7
107,26,Jaccard,Hierachical Clustering,ward,"{1: {'green': '66.67%', 'red': '33.33%'}, 2: {'green': '0.97%', 'red': '99.03%'}}",0.439878158,65.7
196,49,Jaccard,Hierachical Clustering,single,"{1: {'green': '2.9%', 'red': '97.1%'}, 2: {'green': '72.22%', 'red': '27.78%'}}",0.439242776,69.32
198,49,Jaccard,Hierachical Clustering,average,"{1: {'green': '72.22%', 'red': '27.78%'}, 2: {'green': '2.9%', 'red': '97.1%'}}",0.439242776,69.32
199,49,Jaccard,Hierachical Clustering,ward,"{1: {'green': '72.22%', 'red': '27.78%'}, 2: {'green': '2.9%', 'red': '97.1%'}}",0.439242776,69.32
4,1,Jaccard,Hierachical Clustering,single,"{1: {'green': '3.23%', 'red': '96.77%'}, 2: {'green': '77.5%', 'red': '22.5%'}}",0.428590872,74.27
6,1,Jaccard,Hierachical Clustering,average,"{1: {'green': '77.5%', 'red': '22.5%'}, 2: {'green': '3.23%', 'red': '96.77%'}}",0.428590872,74.27
7,1,Jaccard,Hierachical Clustering,ward,"{1: {'green': '3.23%', 'red': '96.77%'}, 2: {'green': '77.5%', 'red': '22.5%'}}",0.428590872,74.27
5,1,Jaccard,Hierachical Clustering,complete,"{1: {'green': '32.35%', 'red': '67.65%'}}",-1,0
17,4,Jaccard,Hierachical Clustering,complete,"{1: {'green': '54.87%', 'red': '45.13%'}}",-1,0
21,5,Jaccard,Hierachical Clustering,complete,"{1: {'green': '50.4%', 'red': '49.6%'}}",-1,0
25,6,Jaccard,Hierachical Clustering,complete,"{1: {'green': '43.22%', 'red': '56.78%'}}",-1,0
33,8,Jaccard,Hierachical Clustering,complete,"{1: {'green': '40.0%', 'red': '60.0%'}}",-1,0
45,11,Jaccard,Hierachical Clustering,complete,"{1: {'green': '47.44%', 'red': '52.56%'}}",-1,0
49,12,Jaccard,Hierachical Clustering,complete,"{1: {'green': '77.42%', 'red': '22.58%'}}",-1,0
65,16,Jaccard,Hierachical Clustering,complete,"{1: {'green': '75.81%', 'red': '24.19%'}}",-1,0
69,17,Jaccard,Hierachical Clustering,complete,"{1: {'green': '56.32%', 'red': '43.68%'}}",-1,0
77,19,Jaccard,Hierachical Clustering,complete,"{1: {'green': '32.48%', 'red': '67.52%'}}",-1,0
89,22,Jaccard,Hierachical Clustering,complete,"{1: {'green': '53.49%', 'red': '46.51%'}}",-1,0
101,25,Jaccard,Hierachical Clustering,complete,"{1: {'green': '39.36%', 'red': '60.64%'}}",-1,0
109,27,Jaccard,Hierachical Clustering,complete,"{1: {'green': '73.08%', 'red': '26.92%'}}",-1,0
117,29,Jaccard,Hierachical Clustering,complete,"{1: {'green': '28.57%', 'red': '71.43%'}}",-1,0
121,30,Jaccard,Hierachical Clustering,complete,"{1: {'green': '59.48%', 'red': '40.52%'}}",-1,0
125,31,Jaccard,Hierachical Clustering,complete,"{1: {'green': '37.27%', 'red': '62.73%'}}",-1,0
133,33,Jaccard,Hierachical Clustering,complete,"{1: {'green': '77.6%', 'red': '22.4%'}}",-1,0
149,37,Jaccard,Hierachical Clustering,complete,"{1: {'green': '55.95%', 'red': '44.05%'}}",-1,0
153,38,Jaccard,Hierachical Clustering,complete,"{1: {'green': '59.76%', 'red': '40.24%'}}",-1,0
157,39,Jaccard,Hierachical Clustering,complete,"{1: {'green': '44.57%', 'red': '55.43%'}}",-1,0
161,40,Jaccard,Hierachical Clustering,complete,"{1: {'green': '56.07%', 'red': '43.93%'}}",-1,0
165,41,Jaccard,Hierachical Clustering,complete,"{1: {'green': '55.81%', 'red': '44.19%'}}",-1,0
169,42,Jaccard,Hierachical Clustering,complete,"{1: {'green': '37.8%', 'red': '62.2%'}}",-1,0
173,43,Jaccard,Hierachical Clustering,complete,"{1: {'green': '60.66%', 'red': '39.34%'}}",-1,0
177,44,Jaccard,Hierachical Clustering,complete,"{1: {'green': '51.19%', 'red': '48.81%'}}",-1,0
181,45,Jaccard,Hierachical Clustering,complete,"{1: {'green': '48.94%', 'red': '51.06%'}}",-1,0
189,47,Jaccard,Hierachical Clustering,complete,"{1: {'green': '75.65%', 'red': '24.35%'}}",-1,0
197,49,Jaccard,Hierachical Clustering,complete,"{1: {'green': '26.67%', 'red': '73.33%'}}",-1,0
