,Seed,Distance Metric,Method,Linkage Method,Cluster Color Percentage,Silhouette Score,Maximum Color Separation
73,18,Jaccard,Hierachical Clustering,complete,"{1: {'green': '91.11%', 'red': '8.89%'}, 2: {'green': '9.68%', 'red': '90.32%'}}",0.584030196,81.43
74,18,Jaccard,Hierachical Clustering,average,"{1: {'green': '9.68%', 'red': '90.32%'}, 2: {'green': '91.11%', 'red': '8.89%'}}",0.584030196,81.43
75,18,Jaccard,Hierachical Clustering,ward,"{1: {'green': '91.11%', 'red': '8.89%'}, 2: {'green': '9.68%', 'red': '90.32%'}}",0.584030196,81.43
96,24,Jaccard,Hierachical Clustering,single,"{1: {'green': '87.1%', 'red': '12.9%'}, 2: {'green': '8.16%', 'red': '91.84%'}}",0.583719176,78.94
97,24,Jaccard,Hierachical Clustering,complete,"{1: {'green': '87.1%', 'red': '12.9%'}, 2: {'green': '8.16%', 'red': '91.84%'}}",0.583719176,78.94
98,24,Jaccard,Hierachical Clustering,average,"{1: {'green': '87.1%', 'red': '12.9%'}, 2: {'green': '8.16%', 'red': '91.84%'}}",0.583719176,78.94
99,24,Jaccard,Hierachical Clustering,ward,"{1: {'green': '87.1%', 'red': '12.9%'}, 2: {'green': '8.16%', 'red': '91.84%'}}",0.583719176,78.94
76,19,Jaccard,Hierachical Clustering,single,"{1: {'green': '85.71%', 'red': '14.29%'}, 2: {'green': '2.67%', 'red': '97.33%'}}",0.57690679,83.04
78,19,Jaccard,Hierachical Clustering,average,"{1: {'green': '85.71%', 'red': '14.29%'}, 2: {'green': '2.67%', 'red': '97.33%'}}",0.57690679,83.04
79,19,Jaccard,Hierachical Clustering,ward,"{1: {'green': '85.71%', 'red': '14.29%'}, 2: {'green': '2.67%', 'red': '97.33%'}}",0.57690679,83.04
24,6,Jaccard,Hierachical Clustering,single,"{1: {'green': '87.04%', 'red': '12.96%'}, 2: {'green': '6.25%', 'red': '93.75%'}}",0.576078588,80.79
26,6,Jaccard,Hierachical Clustering,average,"{1: {'green': '87.04%', 'red': '12.96%'}, 2: {'green': '6.25%', 'red': '93.75%'}}",0.576078588,80.79
27,6,Jaccard,Hierachical Clustering,ward,"{1: {'green': '87.04%', 'red': '12.96%'}, 2: {'green': '6.25%', 'red': '93.75%'}}",0.576078588,80.79
52,13,Jaccard,Hierachical Clustering,single,"{1: {'green': '6.25%', 'red': '93.75%'}, 2: {'green': '80.77%', 'red': '19.23%'}}",0.574146129,74.52
53,13,Jaccard,Hierachical Clustering,complete,"{1: {'green': '80.77%', 'red': '19.23%'}, 2: {'green': '6.25%', 'red': '93.75%'}}",0.574146129,74.52
54,13,Jaccard,Hierachical Clustering,average,"{1: {'green': '6.25%', 'red': '93.75%'}, 2: {'green': '80.77%', 'red': '19.23%'}}",0.574146129,74.52
55,13,Jaccard,Hierachical Clustering,ward,"{1: {'green': '80.77%', 'red': '19.23%'}, 2: {'green': '6.25%', 'red': '93.75%'}}",0.574146129,74.52
56,14,Jaccard,Hierachical Clustering,single,"{1: {'green': '17.5%', 'red': '82.5%'}, 2: {'green': '90.24%', 'red': '9.76%'}}",0.573092924,72.74
57,14,Jaccard,Hierachical Clustering,complete,"{1: {'green': '17.5%', 'red': '82.5%'}, 2: {'green': '90.24%', 'red': '9.76%'}}",0.573092924,72.74
58,14,Jaccard,Hierachical Clustering,average,"{1: {'green': '17.5%', 'red': '82.5%'}, 2: {'green': '90.24%', 'red': '9.76%'}}",0.573092924,72.74
59,14,Jaccard,Hierachical Clustering,ward,"{1: {'green': '17.5%', 'red': '82.5%'}, 2: {'green': '90.24%', 'red': '9.76%'}}",0.573092924,72.74
88,22,Jaccard,Hierachical Clustering,single,"{1: {'green': '10.26%', 'red': '89.74%'}, 2: {'green': '89.36%', 'red': '10.64%'}}",0.569827917,79.1
90,22,Jaccard,Hierachical Clustering,average,"{1: {'green': '89.36%', 'red': '10.64%'}, 2: {'green': '10.26%', 'red': '89.74%'}}",0.569827917,79.1
91,22,Jaccard,Hierachical Clustering,ward,"{1: {'green': '89.36%', 'red': '10.64%'}, 2: {'green': '10.26%', 'red': '89.74%'}}",0.569827917,79.1
100,25,Jaccard,Hierachical Clustering,single,"{1: {'green': '87.88%', 'red': '12.12%'}, 2: {'green': '13.11%', 'red': '86.89%'}}",0.564986023,74.77
102,25,Jaccard,Hierachical Clustering,average,"{1: {'green': '87.88%', 'red': '12.12%'}, 2: {'green': '13.11%', 'red': '86.89%'}}",0.564986023,74.77
103,25,Jaccard,Hierachical Clustering,ward,"{1: {'green': '87.88%', 'red': '12.12%'}, 2: {'green': '13.11%', 'red': '86.89%'}}",0.564986023,74.77
8,2,Jaccard,Hierachical Clustering,single,"{1: {'green': '25.0%', 'red': '75.0%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.558114165,75
9,2,Jaccard,Hierachical Clustering,complete,"{1: {'green': '25.0%', 'red': '75.0%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.558114165,75
10,2,Jaccard,Hierachical Clustering,average,"{1: {'green': '25.0%', 'red': '75.0%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.558114165,75
11,2,Jaccard,Hierachical Clustering,ward,"{1: {'green': '25.0%', 'red': '75.0%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.558114165,75
84,21,Jaccard,Hierachical Clustering,single,"{1: {'green': '93.1%', 'red': '6.9%'}, 2: {'green': '18.06%', 'red': '81.94%'}}",0.55745994,75.04
85,21,Jaccard,Hierachical Clustering,complete,"{1: {'green': '93.1%', 'red': '6.9%'}, 2: {'green': '18.06%', 'red': '81.94%'}}",0.55745994,75.04
86,21,Jaccard,Hierachical Clustering,average,"{1: {'green': '93.1%', 'red': '6.9%'}, 2: {'green': '18.06%', 'red': '81.94%'}}",0.55745994,75.04
87,21,Jaccard,Hierachical Clustering,ward,"{1: {'green': '93.1%', 'red': '6.9%'}, 2: {'green': '18.06%', 'red': '81.94%'}}",0.55745994,75.04
36,9,Jaccard,Hierachical Clustering,single,"{1: {'green': '15.87%', 'red': '84.13%'}, 2: {'green': '96.15%', 'red': '3.85%'}}",0.556819224,80.28
37,9,Jaccard,Hierachical Clustering,complete,"{1: {'green': '15.87%', 'red': '84.13%'}, 2: {'green': '96.15%', 'red': '3.85%'}}",0.556819224,80.28
38,9,Jaccard,Hierachical Clustering,average,"{1: {'green': '15.87%', 'red': '84.13%'}, 2: {'green': '96.15%', 'red': '3.85%'}}",0.556819224,80.28
39,9,Jaccard,Hierachical Clustering,ward,"{1: {'green': '15.87%', 'red': '84.13%'}, 2: {'green': '96.15%', 'red': '3.85%'}}",0.556819224,80.28
0,0,Jaccard,Hierachical Clustering,single,"{1: {'green': '17.31%', 'red': '82.69%'}, 2: {'green': '92.59%', 'red': '7.41%'}}",0.556098725,75.28
1,0,Jaccard,Hierachical Clustering,complete,"{1: {'green': '17.31%', 'red': '82.69%'}, 2: {'green': '92.59%', 'red': '7.41%'}}",0.556098725,75.28
2,0,Jaccard,Hierachical Clustering,average,"{1: {'green': '17.31%', 'red': '82.69%'}, 2: {'green': '92.59%', 'red': '7.41%'}}",0.556098725,75.28
3,0,Jaccard,Hierachical Clustering,ward,"{1: {'green': '17.31%', 'red': '82.69%'}, 2: {'green': '92.59%', 'red': '7.41%'}}",0.556098725,75.28
144,36,Jaccard,Hierachical Clustering,single,"{1: {'green': '93.02%', 'red': '6.98%'}, 2: {'green': '10.87%', 'red': '89.13%'}}",0.555341989,82.15
145,36,Jaccard,Hierachical Clustering,complete,"{1: {'green': '10.87%', 'red': '89.13%'}, 2: {'green': '93.02%', 'red': '6.98%'}}",0.555341989,82.15
146,36,Jaccard,Hierachical Clustering,average,"{1: {'green': '10.87%', 'red': '89.13%'}, 2: {'green': '93.02%', 'red': '6.98%'}}",0.555341989,82.15
147,36,Jaccard,Hierachical Clustering,ward,"{1: {'green': '10.87%', 'red': '89.13%'}, 2: {'green': '93.02%', 'red': '6.98%'}}",0.555341989,82.15
60,15,Jaccard,Hierachical Clustering,single,"{1: {'green': '18.42%', 'red': '81.58%'}, 2: {'green': '92.11%', 'red': '7.89%'}}",0.546137885,73.69
61,15,Jaccard,Hierachical Clustering,complete,"{1: {'green': '18.42%', 'red': '81.58%'}, 2: {'green': '92.11%', 'red': '7.89%'}}",0.546137885,73.69
62,15,Jaccard,Hierachical Clustering,average,"{1: {'green': '18.42%', 'red': '81.58%'}, 2: {'green': '92.11%', 'red': '7.89%'}}",0.546137885,73.69
63,15,Jaccard,Hierachical Clustering,ward,"{1: {'green': '18.42%', 'red': '81.58%'}, 2: {'green': '92.11%', 'red': '7.89%'}}",0.546137885,73.69
160,40,Jaccard,Hierachical Clustering,single,"{1: {'green': '21.43%', 'red': '78.57%'}, 2: {'green': '94.12%', 'red': '5.88%'}}",0.540819763,72.69
162,40,Jaccard,Hierachical Clustering,average,"{1: {'green': '21.43%', 'red': '78.57%'}, 2: {'green': '94.12%', 'red': '5.88%'}}",0.540819763,72.69
163,40,Jaccard,Hierachical Clustering,ward,"{1: {'green': '21.43%', 'red': '78.57%'}, 2: {'green': '94.12%', 'red': '5.88%'}}",0.540819763,72.69
148,37,Jaccard,Hierachical Clustering,single,"{1: {'green': '19.51%', 'red': '80.49%'}, 2: {'green': '90.7%', 'red': '9.3%'}}",0.539305723,71.19
150,37,Jaccard,Hierachical Clustering,average,"{1: {'green': '19.51%', 'red': '80.49%'}, 2: {'green': '90.7%', 'red': '9.3%'}}",0.539305723,71.19
151,37,Jaccard,Hierachical Clustering,ward,"{1: {'green': '19.51%', 'red': '80.49%'}, 2: {'green': '90.7%', 'red': '9.3%'}}",0.539305723,71.19
140,35,Jaccard,Hierachical Clustering,single,"{1: {'green': '96.97%', 'red': '3.03%'}, 2: {'green': '16.22%', 'red': '83.78%'}}",0.53660023,80.75
141,35,Jaccard,Hierachical Clustering,complete,"{1: {'green': '16.22%', 'red': '83.78%'}, 2: {'green': '96.97%', 'red': '3.03%'}}",0.53660023,80.75
142,35,Jaccard,Hierachical Clustering,average,"{1: {'green': '96.97%', 'red': '3.03%'}, 2: {'green': '16.22%', 'red': '83.78%'}}",0.53660023,80.75
