,Seed,Linkage Method,Cluster Color Percentage,Number of Clusters
61,15,complete,"{1: {'green': 18.42, 'red': 81.58}, 2: {'green': 92.11, 'red': 7.89}}",2
62,15,average,"{1: {'green': 18.42, 'red': 81.58}, 2: {'green': 92.11, 'red': 7.89}}",2
63,15,ward,"{1: {'green': 18.42, 'red': 81.58}, 2: {'green': 92.11, 'red': 7.89}}",2
64,16,single,"{1: {'green': 33.33, 'red': 66.67}, 2: {'green': 100.0}}",2
65,16,complete,"{1: {'green': 75.81, 'red': 24.19}, 2: {}}",2
66,16,average,"{1: {'green': 33.33, 'red': 66.67}, 2: {'green': 100.0}}",2
67,16,ward,"{1: {'green': 33.33, 'red': 66.67}, 2: {'green': 100.0}}",2
68,17,single,"{1: {'green': 90.0, 'red': 10.0}, 2: {'green': 10.81, 'red': 89.19}}",2
69,17,complete,"{1: {'green': 56.32, 'red': 43.68}, 2: {}}",2
70,17,average,"{1: {'green': 10.81, 'red': 89.19}, 2: {'green': 90.0, 'red': 10.0}}",2
71,17,ward,"{1: {'green': 90.0, 'red': 10.0}, 2: {'green': 10.81, 'red': 89.19}}",2
72,18,single,"{1: {'green': 9.68, 'red': 90.32}, 2: {'green': 91.11, 'red': 8.89}}",2
73,18,complete,"{1: {'green': 91.11, 'red': 8.89}, 2: {'green': 9.68, 'red': 90.32}}",2
74,18,average,"{1: {'green': 9.68, 'red': 90.32}, 2: {'green': 91.11, 'red': 8.89}}",2
75,18,ward,"{1: {'green': 91.11, 'red': 8.89}, 2: {'green': 9.68, 'red': 90.32}}",2
76,19,single,"{1: {'green': 85.71, 'red': 14.29}, 2: {'green': 2.67, 'red': 97.33}}",2
77,19,complete,"{1: {'green': 32.48, 'red': 67.52}, 2: {}}",2
78,19,average,"{1: {'green': 85.71, 'red': 14.29}, 2: {'green': 2.67, 'red': 97.33}}",2
79,19,ward,"{1: {'green': 85.71, 'red': 14.29}, 2: {'green': 2.67, 'red': 97.33}}",2
80,20,single,"{1: {'green': 15.79, 'red': 84.21}, 2: {'green': 93.75, 'red': 6.25}}",2
81,20,complete,"{1: {'green': 15.79, 'red': 84.21}, 2: {'green': 93.75, 'red': 6.25}}",2
82,20,average,"{1: {'green': 15.79, 'red': 84.21}, 2: {'green': 93.75, 'red': 6.25}}",2
83,20,ward,"{1: {'green': 15.79, 'red': 84.21}, 2: {'green': 93.75, 'red': 6.25}}",2
84,21,single,"{1: {'green': 93.1, 'red': 6.9}, 2: {'green': 18.06, 'red': 81.94}}",2
85,21,complete,"{1: {'green': 93.1, 'red': 6.9}, 2: {'green': 18.06, 'red': 81.94}}",2
86,21,average,"{1: {'green': 93.1, 'red': 6.9}, 2: {'green': 18.06, 'red': 81.94}}",2
87,21,ward,"{1: {'green': 93.1, 'red': 6.9}, 2: {'green': 18.06, 'red': 81.94}}",2
88,22,single,"{1: {'green': 10.26, 'red': 89.74}, 2: {'green': 89.36, 'red': 10.64}}",2
89,22,complete,"{1: {'green': 53.49, 'red': 46.51}, 2: {}}",2
90,22,average,"{1: {'green': 89.36, 'red': 10.64}, 2: {'green': 10.26, 'red': 89.74}}",2
91,22,ward,"{1: {'green': 89.36, 'red': 10.64}, 2: {'green': 10.26, 'red': 89.74}}",2
92,23,single,"{1: {'green': 14.58, 'red': 85.42}, 2: {'green': 95.65, 'red': 4.35}}",2
93,23,complete,"{1: {'green': 14.58, 'red': 85.42}, 2: {'green': 95.65, 'red': 4.35}}",2
94,23,average,"{1: {'green': 95.65, 'red': 4.35}, 2: {'green': 14.58, 'red': 85.42}}",2
95,23,ward,"{1: {'green': 14.58, 'red': 85.42}, 2: {'green': 95.65, 'red': 4.35}}",2
96,24,single,"{1: {'green': 87.1, 'red': 12.9}, 2: {'green': 8.16, 'red': 91.84}}",2
97,24,complete,"{1: {'green': 87.1, 'red': 12.9}, 2: {'green': 8.16, 'red': 91.84}}",2
98,24,average,"{1: {'green': 87.1, 'red': 12.9}, 2: {'green': 8.16, 'red': 91.84}}",2
