,Seed,Linkage Method,Color Distribution,Number of Clusters
47,11,ward,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         1                    3                           1   
2                         0                    0                           0   

Colors_String  green, red, red, red, red, red, red  red, green, green, green  \
Cluster                                                                        
1                                                0                         2   
2                                                1                         0   

Colors_String  red, green, green, green, green  red, red  red, red, red  \
Cluster                                                                   
1                                            6         0              0   
2                                            0         2              1   

Colors_String  red, red, red, red  red, red, red, red, red  \
Cluster                                                      
1                               0                        0   
2                               1                        3   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         0  
2                                         1  ",2
48,12,single,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         4                    3                           1   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green  \
Cluster                                                   
1                                                     0   
2                                                     2   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      9   
2                                      0   

Colors_String  red, green, green, green, green, green, green  red, red  
Cluster                                                                 
1                                                          0         1  
2                                                          1         0  ",2
49,12,complete,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         4                    3                           1   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              1   

Colors_String  green, green, green, green, green, green  \
Cluster                                                   
1                                                     2   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      9   

Colors_String  red, green, green, green, green, green, green  red, red  
Cluster                                                                 
1                                                          1         1  ",2
50,12,average,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         4                    3                           1   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green  \
Cluster                                                   
1                                                     0   
2                                                     2   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      9   
2                                      0   

Colors_String  red, green, green, green, green, green, green  red, red  
Cluster                                                                 
1                                                          0         1  
2                                                          1         0  ",2
51,12,ward,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         4                    3                           1   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green  \
Cluster                                                   
1                                                     0   
2                                                     2   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      9   
2                                      0   

Colors_String  red, green, green, green, green, green, green  red, red  
Cluster                                                                 
1                                                          0         1  
2                                                          1         0  ",2
52,13,single,"Colors_String  green, green  green, green, green, green  \
Cluster                                                   
1                         0                           0   
2                         1                           1   

Colors_String  green, red, red, red, red, red, red  red, green, green  \
Cluster                                                                 
1                                                3                  0   
2                                                0                  2   

Colors_String  red, green, green, green  red, green, green, green, green  \
Cluster                                                                    
1                                     0                                0   
2                                     2                                6   

Colors_String  red, red  red, red, red  red, red, red, red, red  
Cluster                                                          
1                     1              4                        1  
2                     0              0                        0  ",2
53,13,complete,"Colors_String  green, green  green, green, green, green  \
Cluster                                                   
1                         0                           0   
2                         1                           1   

Colors_String  green, red, red, red, red, red, red  red, green, green  \
Cluster                                                                 
1                                                3                  0   
2                                                0                  2   

Colors_String  red, green, green, green  red, green, green, green, green  \
Cluster                                                                    
1                                     0                                0   
2                                     2                                6   

Colors_String  red, red  red, red, red  red, red, red, red, red  
Cluster                                                          
1                     1              4                        1  
2                     0              0                        0  ",2
54,13,average,"Colors_String  green, green  green, green, green, green  \
Cluster                                                   
1                         0                           0   
2                         1                           1   

Colors_String  green, red, red, red, red, red, red  red, green, green  \
Cluster                                                                 
1                                                3                  0   
2                                                0                  2   

Colors_String  red, green, green, green  red, green, green, green, green  \
Cluster                                                                    
1                                     0                                0   
2                                     2                                6   

Colors_String  red, red  red, red, red  red, red, red, red, red  
Cluster                                                          
1                     1              4                        1  
2                     0              0                        0  ",2
55,13,ward,"Colors_String  green, green  green, green, green, green  \
Cluster                                                   
1                         0                           0   
2                         1                           1   

Colors_String  green, red, red, red, red, red, red  red, green, green  \
Cluster                                                                 
1                                                3                  0   
2                                                0                  2   

Colors_String  red, green, green, green  red, green, green, green, green  \
Cluster                                                                    
1                                     0                                0   
2                                     2                                6   

Colors_String  red, red  red, red, red  red, red, red, red, red  
Cluster                                                          
1                     1              4                        1  
2                     0              0                        0  ",2
56,14,single,"Colors_String  green, green  green, green, green  \
Cluster                                            
1                         0                    0   
2                         1                    2   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green  green, red, red, red  \
Cluster                                                                         
1                                                     0                     3   
2                                                     1                     0   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      6   
2                                      0   

Colors_String  red, green, green, green, green, green  \
Cluster                                                 
1                                                   0   
2                                                   1   

Colors_String  red, green, green, green, green, green, green  red, red  \
Cluster                                                                  
1                                                          0         1   
2                                                          4         0   

Colors_String  red, red, red  
Cluster                       
1                          1  
2                          0  ",2
57,14,complete,"Colors_String  green, green  green, green, green  \
Cluster                                            
1                         0                    0   
2                         1                    2   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green  green, red, red, red  \
Cluster                                                                         
1                                                     0                     3   
2                                                     1                     0   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      6   
2                                      0   

Colors_String  red, green, green, green, green, green  \
Cluster                                                 
1                                                   0   
2                                                   1   

Colors_String  red, green, green, green, green, green, green  red, red  \
Cluster                                                                  
1                                                          0         1   
2                                                          4         0   

Colors_String  red, red, red  
Cluster                       
1                          1  
2                          0  ",2
58,14,average,"Colors_String  green, green  green, green, green  \
Cluster                                            
1                         0                    0   
2                         1                    2   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green  green, red, red, red  \
Cluster                                                                         
1                                                     0                     3   
2                                                     1                     0   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      6   
2                                      0   

Colors_String  red, green, green, green, green, green  \
Cluster                                                 
1                                                   0   
2                                                   1   

Colors_String  red, green, green, green, green, green, green  red, red  \
Cluster                                                                  
1                                                          0         1   
2                                                          4         0   

Colors_String  red, red, red  
Cluster                       
1                          1  
2                          0  ",2
59,14,ward,"Colors_String  green, green  green, green, green  \
Cluster                                            
1                         1                    2   
2                         0                    0   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              1   
2                                              0   

Colors_String  green, green, green, green, green, green  green, red, red, red  \
Cluster                                                                         
1                                                     1                     0   
2                                                     0                     3   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      0   
2                                      6   

Colors_String  red, green, green, green, green, green  \
Cluster                                                 
1                                                   1   
2                                                   0   

Colors_String  red, green, green, green, green, green, green  red, red  \
Cluster                                                                  
1                                                          4         0   
2                                                          0         1   

Colors_String  red, red, red  
Cluster                       
1                          0  
2                          1  ",2
60,15,single,"Colors_String  green, green, green  green, green, green, green  \
Cluster                                                          
1                                0                           0   
2                                2                           2   

Colors_String  green, green, green, green, green, green  green, red  \
Cluster                                                               
1                                                     0           0   
2                                                     1           1   

Colors_String  green, red, red  green, red, red, red  \
Cluster                                                
1                            2                     2   
2                            0                     0   

Colors_String  red, green, green, green, green, green, green  
Cluster                                                       
1                                                          0  
2                                                          4  ",2
61,15,complete,"Colors_String  green, green, green  green, green, green, green  \
Cluster                                                          
1                                2                           2   

Colors_String  green, green, green, green, green, green  green, red  \
Cluster                                                               
1                                                     1           1   

Colors_String  green, red, red  green, red, red, red  \
Cluster                                                
1                            2                     2   

Colors_String  red, green, green, green, green, green, green  
Cluster                                                       
1                                                          4  ",2
62,15,average,"Colors_String  green, green, green  green, green, green, green  \
Cluster                                                          
1                                2                           2   
2                                0                           0   

Colors_String  green, green, green, green, green, green  green, red  \
Cluster                                                               
1                                                     1           0   
2                                                     0           1   

Colors_String  green, red, red  green, red, red, red  \
Cluster                                                
1                            2                     2   
2                            0                     0   

Colors_String  red, green, green, green, green, green, green  
Cluster                                                       
1                                                          4  
2                                                          0  ",2
63,15,ward,"Colors_String  green, green, green  green, green, green, green  \
Cluster                                                          
1                                0                           0   
2                                2                           2   

Colors_String  green, green, green, green, green, green  green, red  \
Cluster                                                               
1                                                     0           0   
2                                                     1           1   

Colors_String  green, red, red  green, red, red, red  \
Cluster                                                
1                            2                     2   
2                            0                     0   

Colors_String  red, green, green, green, green, green, green  
Cluster                                                       
1                                                          0  
2                                                          4  ",2
64,16,single,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         4                    4                           1   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green  \
Cluster                                                   
1                                                     0   
2                                                     2   

Colors_String  green, green, green, green, green, green, green  \
Cluster                                                          
1                                                            0   
2                                                            3   

Colors_String  green, green, green, green, green, green, green, green  \
Cluster                                                                 
1                                                              0        
2                                                              3        

Colors_String  green, red, red  
Cluster                         
1                           16  
2                            0  ",2
65,16,complete,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         4                    4                           1   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              1   

Colors_String  green, green, green, green, green, green  \
Cluster                                                   
1                                                     2   

Colors_String  green, green, green, green, green, green, green  \
Cluster                                                          
1                                                            3   

Colors_String  green, green, green, green, green, green, green, green  \
Cluster                                                                 
1                                                              3        

Colors_String  green, red, red  
Cluster                         
1                           16  ",2
66,16,average,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         4                    4                           1   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green  \
Cluster                                                   
1                                                     0   
2                                                     2   

Colors_String  green, green, green, green, green, green, green  \
Cluster                                                          
1                                                            0   
2                                                            3   

Colors_String  green, green, green, green, green, green, green, green  \
Cluster                                                                 
1                                                              0        
2                                                              3        

Colors_String  green, red, red  
Cluster                         
1                           16  
2                            0  ",2
67,16,ward,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         4                    4                           1   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green  \
Cluster                                                   
1                                                     0   
2                                                     2   

Colors_String  green, green, green, green, green, green, green  \
Cluster                                                          
1                                                            0   
2                                                            3   

Colors_String  green, green, green, green, green, green, green, green  \
Cluster                                                                 
1                                                              0        
2                                                              3        

Colors_String  green, red, red  
Cluster                         
1                           16  
2                            0  ",2
68,17,single,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         2                    2                           3   
2                         0                    0                           0   

Colors_String  green, red, red, red  red, green, green, green, green, green  \
Cluster                                                                       
1                                 0                                       4   
2                                 3                                       0   

Colors_String  red, red  red, red, red  red, red, red, red  
Cluster                                                     
1                     0              0                   0  
2                     1              2                   1  ",2
69,17,complete,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         2                    2                           3   

Colors_String  green, red, red, red  red, green, green, green, green, green  \
Cluster                                                                       
1                                 3                                       4   

Colors_String  red, red  red, red, red  red, red, red, red  
Cluster                                                     
1                     1              2                   1  ",2
70,17,average,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         2                    2                           3   
2                         0                    0                           0   

Colors_String  green, red, red, red  red, green, green, green, green, green  \
Cluster                                                                       
1                                 0                                       4   
2                                 3                                       0   

Colors_String  red, red  red, red, red  red, red, red, red  
Cluster                                                     
1                     0              0                   0  
2                     1              2                   1  ",2
71,17,ward,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         2                    2                           3   
2                         0                    0                           0   

Colors_String  green, red, red, red  red, green, green, green, green, green  \
Cluster                                                                       
1                                 0                                       4   
2                                 3                                       0   

Colors_String  red, red  red, red, red  red, red, red, red  
Cluster                                                     
1                     0              0                   0  
2                     1              2                   1  ",2
72,18,single,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         1                    2                           5   
2                         0                    0                           0   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              1   
2                                              0   

Colors_String  green, red, red, red, red, red  \
Cluster                                         
1                                           0   
2                                           7   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   6         0   
2                                                   0         1   

Colors_String  red, red, red  red, red, red, red, red  
Cluster                                                
1                          0                        0  
2                          3                        1  ",2
73,18,complete,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         1                    2                           5   
2                         0                    0                           0   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              1   
2                                              0   

Colors_String  green, red, red, red, red, red  \
Cluster                                         
1                                           0   
2                                           7   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   6         0   
2                                                   0         1   

Colors_String  red, red, red  red, red, red, red, red  
Cluster                                                
1                          0                        0  
2                          3                        1  ",2
74,18,average,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         1                    2                           5   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, red, red, red, red, red  \
Cluster                                         
1                                           7   
2                                           0   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   0         1   
2                                                   6         0   

Colors_String  red, red, red  red, red, red, red, red  
Cluster                                                
1                          3                        1  
2                          0                        0  ",2
75,18,ward,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         1                    2                           5   
2                         0                    0                           0   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              1   
2                                              0   

Colors_String  green, red, red, red, red, red  \
Cluster                                         
1                                           0   
2                                           7   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   6         0   
2                                                   0         1   

Colors_String  red, red, red  red, red, red, red, red  
Cluster                                                
1                          0                        0  
2                          3                        1  ",2
76,19,single,"Colors_String  green, green, green  green, green, green, green  \
Cluster                                                          
1                                3                           2   
2                                0                           0   

Colors_String  green, red, red, red, red, red  \
Cluster                                         
1                                           0   
2                                           1   

Colors_String  green, red, red, red, red, red, red  red, green, green  \
Cluster                                                                 
1                                                0                  1   
2                                                2                  0   

Colors_String  red, green, green, green, green  red, red, red  \
Cluster                                                         
1                                            7              0   
2                                            0              1   

Colors_String  red, red, red, red, red  red, red, red, red, red, red  
Cluster                                                               
1                                    0                             0  
2                                    2                             5  ",2
77,19,complete,"Colors_String  green, green, green  green, green, green, green  \
Cluster                                                          
1                                3                           2   
2                                0                           0   

Colors_String  green, red, red, red, red, red  \
Cluster                                         
1                                           0   
2                                           1   

Colors_String  green, red, red, red, red, red, red  red, green, green  \
Cluster                                                                 
1                                                0                  1   
2                                                2                  0   

Colors_String  red, green, green, green, green  red, red, red  \
Cluster                                                         
1                                            7              0   
2                                            0              1   

Colors_String  red, red, red, red, red  red, red, red, red, red, red  
Cluster                                                               
1                                    0                             0  
2                                    2                             5  ",2
78,19,average,"Colors_String  green, green, green  green, green, green, green  \
Cluster                                                          
1                                0                           0   
2                                3                           2   

Colors_String  green, red, red, red, red, red  \
Cluster                                         
1                                           1   
2                                           0   

Colors_String  green, red, red, red, red, red, red  red, green, green  \
Cluster                                                                 
1                                                2                  0   
2                                                0                  1   

Colors_String  red, green, green, green, green  red, red, red  \
Cluster                                                         
1                                            0              1   
2                                            7              0   

Colors_String  red, red, red, red, red  red, red, red, red, red, red  
Cluster                                                               
1                                    2                             5  
2                                    0                             0  ",2
79,19,ward,"Colors_String  green, green, green  green, green, green, green  \
Cluster                                                          
1                                0                           0   
2                                3                           2   

Colors_String  green, red, red, red, red, red  \
Cluster                                         
1                                           1   
2                                           0   

Colors_String  green, red, red, red, red, red, red  red, green, green  \
Cluster                                                                 
1                                                2                  0   
2                                                0                  1   

Colors_String  red, green, green, green, green  red, red, red  \
Cluster                                                         
1                                            0              1   
2                                            7              0   

Colors_String  red, red, red, red, red  red, red, red, red, red, red  
Cluster                                                               
1                                    2                             5  
2                                    0                             0  ",2
80,20,single,"Colors_String  green, green  green, green, green, green, green  \
Cluster                                                          
1                         0                                  0   
2                         1                                  2   

Colors_String  green, green, green, green, green, green  \
Cluster                                                   
1                                                     0   
2                                                     1   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      9   
2                                      0   

Colors_String  red, green, green, green, green, green, green  red, red, red  \
Cluster                                                                       
1                                                          0              1   
2                                                          4              0   

Colors_String  red, red, red, red  
Cluster                            
1                               2  
2                               0  ",2
81,20,complete,"Colors_String  green, green  green, green, green, green, green  \
Cluster                                                          
1                         0                                  0   
2                         1                                  2   

Colors_String  green, green, green, green, green, green  \
Cluster                                                   
1                                                     0   
2                                                     1   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      9   
2                                      0   

Colors_String  red, green, green, green, green, green, green  red, red, red  \
Cluster                                                                       
1                                                          0              1   
2                                                          4              0   

Colors_String  red, red, red, red  
Cluster                            
1                               2  
2                               0  ",2
82,20,average,"Colors_String  green, green  green, green, green, green, green  \
Cluster                                                          
1                         0                                  0   
2                         1                                  2   

Colors_String  green, green, green, green, green, green  \
Cluster                                                   
1                                                     0   
2                                                     1   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      9   
2                                      0   

Colors_String  red, green, green, green, green, green, green  red, red, red  \
Cluster                                                                       
1                                                          0              1   
2                                                          4              0   

Colors_String  red, red, red, red  
Cluster                            
1                               2  
2                               0  ",2
83,20,ward,"Colors_String  green, green  green, green, green, green, green  \
Cluster                                                          
1                         0                                  0   
2                         1                                  2   

Colors_String  green, green, green, green, green, green  \
Cluster                                                   
1                                                     0   
2                                                     1   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      9   
2                                      0   

Colors_String  red, green, green, green, green, green, green  red, red, red  \
Cluster                                                                       
1                                                          0              1   
2                                                          4              0   

Colors_String  red, red, red, red  
Cluster                            
1                               2  
2                               0  ",2
84,21,single,"Colors_String  green  green, green, green  green, green, green, green  \
Cluster                                                                 
1                  0                    0                           0   
2                  1                    1                           1   

Colors_String  green, green, green, green, green  green, red, red  \
Cluster                                                             
1                                              0                2   
2                                              3                0   

Colors_String  green, red, red, red  green, red, red, red, red  \
Cluster                                                          
1                                 4                          2   
2                                 0                          0   

Colors_String  red, green, green, green, green, green, green  
Cluster                                                       
1                                                          0  
2                                                          3  ",2
