,Seed,Linkage Method,Color Distribution,Number of Clusters
13,3,complete,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         1                    1                           2   

Colors_String  green, green, green, green, green  green, red, red  \
Cluster                                                             
1                                              2                2   

Colors_String  green, red, red, red, red, red  red, green, green, green  \
Cluster                                                                   
1                                           2                         1   

Colors_String  red, green, green, green, green  \
Cluster                                          
1                                            1   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   3         1   

Colors_String  red, red, red  red, red, red, red, red  
Cluster                                                
1                          2                        2  ",2
14,3,average,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         1                    1                           2   
2                         0                    0                           0   

Colors_String  green, green, green, green, green  green, red, red  \
Cluster                                                             
1                                              2                0   
2                                              0                2   

Colors_String  green, red, red, red, red, red  red, green, green, green  \
Cluster                                                                   
1                                           0                         1   
2                                           2                         0   

Colors_String  red, green, green, green, green  \
Cluster                                          
1                                            1   
2                                            0   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   3         0   
2                                                   0         1   

Colors_String  red, red, red  red, red, red, red, red  
Cluster                                                
1                          0                        0  
2                          2                        2  ",2
15,3,ward,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         1                    1                           2   
2                         0                    0                           0   

Colors_String  green, green, green, green, green  green, red, red  \
Cluster                                                             
1                                              2                0   
2                                              0                2   

Colors_String  green, red, red, red, red, red  red, green, green, green  \
Cluster                                                                   
1                                           0                         1   
2                                           2                         0   

Colors_String  red, green, green, green, green  \
Cluster                                          
1                                            1   
2                                            0   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   3         0   
2                                                   0         1   

Colors_String  red, red, red  red, red, red, red, red  
Cluster                                                
1                          0                        0  
2                          2                        2  ",2
16,4,single,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         4                    3                           1   

Colors_String  green, green, green, green, green  green, red, red, red, red  \
Cluster                                                                       
1                                              0                          6   
2                                              2                          0   

Colors_String  red, green, green, green, green, green, green  red, red  \
Cluster                                                                  
1                                                          0         2   
2                                                          4         0   

Colors_String  red, red, red, red  
Cluster                            
1                               1  
2                               0  ",2
17,4,complete,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         4                    3                           1   

Colors_String  green, green, green, green, green  green, red, red, red, red  \
Cluster                                                                       
1                                              2                          6   

Colors_String  red, green, green, green, green, green, green  red, red  \
Cluster                                                                  
1                                                          4         2   

Colors_String  red, red, red, red  
Cluster                            
1                               1  ",2
18,4,average,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         4                    3                           1   

Colors_String  green, green, green, green, green  green, red, red, red, red  \
Cluster                                                                       
1                                              0                          6   
2                                              2                          0   

Colors_String  red, green, green, green, green, green, green  red, red  \
Cluster                                                                  
1                                                          0         2   
2                                                          4         0   

Colors_String  red, red, red, red  
Cluster                            
1                               1  
2                               0  ",2
19,4,ward,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         4                    3                           1   

Colors_String  green, green, green, green, green  green, red, red, red, red  \
Cluster                                                                       
1                                              0                          6   
2                                              2                          0   

Colors_String  red, green, green, green, green, green, green  red, red  \
Cluster                                                                  
1                                                          0         2   
2                                                          4         0   

Colors_String  red, red, red, red  
Cluster                            
1                               1  
2                               0  ",2
20,5,single,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         2                    1                           3   
2                         0                    0                           0   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              2   
2                                              0   

Colors_String  green, red, red, red, red, red  red, green, green, green  \
Cluster                                                                   
1                                           0                         2   
2                                           2                         0   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   3         0   
2                                                   0         2   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          0                   0  
2                          2                   1  ",2
21,5,complete,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         2                    1                           3   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              2   

Colors_String  green, red, red, red, red, red  red, green, green, green  \
Cluster                                                                   
1                                           2                         2   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   3         2   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          2                   1  ",2
22,5,average,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         2                    1                           3   
2                         0                    0                           0   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              2   
2                                              0   

Colors_String  green, red, red, red, red, red  red, green, green, green  \
Cluster                                                                   
1                                           0                         2   
2                                           2                         0   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   3         0   
2                                                   0         2   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          0                   0  
2                          2                   1  ",2
