,Seed,Linkage Method,Cluster Color Percentage,Silhouette Score,Maximum Color Separation
0,0,single,"{1: {'green': '6.29%', 'red': '93.71%'}, 2: {'green': '96.5%', 'red': '3.5%'}}",0.45695048204422867,90.21
1,0,complete,"{1: {'green': '49.01%', 'red': '50.99%'}}",-1.0,0.0
2,0,average,"{1: {'green': '6.29%', 'red': '93.71%'}, 2: {'green': '96.5%', 'red': '3.5%'}}",0.45695048204422867,90.21
3,0,ward,"{1: {'green': '6.29%', 'red': '93.71%'}, 2: {'green': '96.5%', 'red': '3.5%'}}",0.45695048204422867,90.21
4,1,single,"{1: {'green': '95.06%', 'red': '4.94%'}, 2: {'green': '1.55%', 'red': '98.45%'}}",0.3758941692341552,93.51
5,1,complete,"{1: {'green': '37.62%', 'red': '62.38%'}}",-1.0,0.0
6,1,average,"{1: {'green': '95.06%', 'red': '4.94%'}, 2: {'green': '1.55%', 'red': '98.45%'}}",0.3758941692341552,93.51
7,1,ward,"{1: {'green': '1.55%', 'red': '98.45%'}, 2: {'green': '95.06%', 'red': '4.94%'}}",0.3758941692341552,93.51
8,2,single,"{1: {'green': '14.46%', 'red': '85.54%'}, 2: {'green': '97.67%', 'red': '2.33%'}}",0.3407506358144799,83.21000000000001
9,2,complete,"{1: {'green': '65.09%', 'red': '34.91%'}}",-1.0,0.0
10,2,average,"{1: {'green': '14.46%', 'red': '85.54%'}, 2: {'green': '97.67%', 'red': '2.33%'}}",0.3407506358144799,83.21000000000001
11,2,ward,"{1: {'green': '97.67%', 'red': '2.33%'}, 2: {'green': '14.46%', 'red': '85.54%'}}",0.3407506358144799,83.21000000000001
12,3,single,"{1: {'green': '5.77%', 'red': '94.23%'}, 2: {'green': '95.05%', 'red': '4.95%'}}",0.30574737828508797,89.28
13,3,complete,"{1: {'green': '64.71%', 'red': '35.29%'}}",-1.0,0.0
14,3,average,"{1: {'green': '5.77%', 'red': '94.23%'}, 2: {'green': '95.05%', 'red': '4.95%'}}",0.30574737828508797,89.28
15,3,ward,"{1: {'green': '5.77%', 'red': '94.23%'}, 2: {'green': '95.05%', 'red': '4.95%'}}",0.30574737828508797,89.28
16,4,single,"{1: {'green': '7.58%', 'red': '92.42%'}, 2: {'green': '94.12%', 'red': '5.88%'}}",0.3012176598450574,86.54
17,4,complete,"{1: {'green': '37.0%', 'red': '63.0%'}}",-1.0,0.0
18,4,average,"{1: {'green': '94.12%', 'red': '5.88%'}, 2: {'green': '7.58%', 'red': '92.42%'}}",0.3012176598450574,86.54
19,4,ward,"{1: {'green': '93.94%', 'red': '6.06%'}, 2: {'green': '8.96%', 'red': '91.04%'}}",0.2902673201125841,84.98
20,5,single,"{1: {'green': '9.26%', 'red': '90.74%'}, 2: {'green': '96.64%', 'red': '3.36%'}}",0.4169011787787837,87.38
21,5,complete,"{1: {'green': '55.07%', 'red': '44.93%'}}",-1.0,0.0
22,5,average,"{1: {'green': '9.26%', 'red': '90.74%'}, 2: {'green': '96.64%', 'red': '3.36%'}}",0.4169011787787837,87.38
23,5,ward,"{1: {'green': '97.44%', 'red': '2.56%'}, 2: {'green': '10.0%', 'red': '90.0%'}}",0.40261811197647007,87.44
24,6,single,"{1: {'green': '95.0%', 'red': '5.0%'}, 2: {'green': '3.33%', 'red': '96.67%'}}",0.5490233867848641,91.67
25,6,complete,"{1: {'green': '95.0%', 'red': '5.0%'}, 2: {'green': '3.33%', 'red': '96.67%'}}",0.5490233867848641,91.67
26,6,average,"{1: {'green': '95.0%', 'red': '5.0%'}, 2: {'green': '3.33%', 'red': '96.67%'}}",0.5490233867848641,91.67
27,6,ward,"{1: {'green': '3.33%', 'red': '96.67%'}, 2: {'green': '95.0%', 'red': '5.0%'}}",0.5490233867848641,91.67
28,7,single,"{1: {'green': '4.07%', 'red': '95.93%'}, 2: {'green': '94.87%', 'red': '5.13%'}}",0.45475917958122547,90.80000000000001
29,7,complete,"{1: {'green': '25.93%', 'red': '74.07%'}}",-1.0,0.0
30,7,average,"{1: {'green': '4.07%', 'red': '95.93%'}, 2: {'green': '94.87%', 'red': '5.13%'}}",0.45475917958122547,90.80000000000001
31,7,ward,"{1: {'green': '4.07%', 'red': '95.93%'}, 2: {'green': '94.87%', 'red': '5.13%'}}",0.45475917958122547,90.80000000000001
32,8,single,"{1: {'green': '95.79%', 'red': '4.21%'}, 2: {'green': '6.76%', 'red': '93.24%'}}",0.3070886386467633,89.03
33,8,complete,"{1: {'green': '56.8%', 'red': '43.2%'}}",-1.0,0.0
34,8,average,"{1: {'green': '95.79%', 'red': '4.21%'}, 2: {'green': '6.76%', 'red': '93.24%'}}",0.3070886386467633,89.03
35,8,ward,"{1: {'green': '95.79%', 'red': '4.21%'}, 2: {'green': '6.76%', 'red': '93.24%'}}",0.3070886386467633,89.03
36,9,single,"{1: {'green': '94.24%', 'red': '5.76%'}, 2: {'green': '2.59%', 'red': '97.41%'}}",0.47923608499477693,91.64999999999999
37,9,complete,"{1: {'green': '94.24%', 'red': '5.76%'}, 2: {'green': '2.59%', 'red': '97.41%'}}",0.47923608499477693,91.64999999999999
38,9,average,"{1: {'green': '94.24%', 'red': '5.76%'}, 2: {'green': '2.59%', 'red': '97.41%'}}",0.47923608499477693,91.64999999999999
39,9,ward,"{1: {'green': '94.24%', 'red': '5.76%'}, 2: {'green': '2.59%', 'red': '97.41%'}}",0.47923608499477693,91.64999999999999
40,10,single,"{1: {'green': '93.67%', 'red': '6.33%'}, 2: {'green': '7.02%', 'red': '92.98%'}}",0.36184028541906366,86.65
41,10,complete,"{1: {'green': '57.35%', 'red': '42.65%'}}",-1.0,0.0
42,10,average,"{1: {'green': '93.67%', 'red': '6.33%'}, 2: {'green': '7.02%', 'red': '92.98%'}}",0.36184028541906366,86.65
43,10,ward,"{1: {'green': '93.67%', 'red': '6.33%'}, 2: {'green': '7.02%', 'red': '92.98%'}}",0.36184028541906366,86.65
44,11,single,"{1: {'green': '7.41%', 'red': '92.59%'}, 2: {'green': '95.03%', 'red': '4.97%'}}",0.41884693778532417,87.62
45,11,complete,"{1: {'green': '65.7%', 'red': '34.3%'}}",-1.0,0.0
46,11,average,"{1: {'green': '7.41%', 'red': '92.59%'}, 2: {'green': '95.03%', 'red': '4.97%'}}",0.41884693778532417,87.62
47,11,ward,"{1: {'green': '7.41%', 'red': '92.59%'}, 2: {'green': '95.03%', 'red': '4.97%'}}",0.41884693778532417,87.62
48,12,single,"{1: {'green': '44.22%', 'red': '55.78%'}, 2: {'green': '0.0%', 'red': '100.0%'}}",0.22544664999043904,44.22
49,12,complete,"{1: {'green': '44.0%', 'red': '56.0%'}}",-1.0,0.0
50,12,average,"{1: {'green': '44.22%', 'red': '55.78%'}, 2: {'green': '0.0%', 'red': '100.0%'}}",0.22544664999043904,44.22
51,12,ward,"{1: {'green': '92.55%', 'red': '7.45%'}, 2: {'green': '0.94%', 'red': '99.06%'}}",0.422992491163669,91.61
52,13,single,"{1: {'green': '66.14%', 'red': '33.86%'}, 2: {'green': '50.0%', 'red': '50.0%'}}",0.26931615617213195,16.14
53,13,complete,"{1: {'green': '66.02%', 'red': '33.98%'}}",-1.0,0.0
54,13,average,"{1: {'green': '66.14%', 'red': '33.86%'}, 2: {'green': '50.0%', 'red': '50.0%'}}",0.26931615617213195,16.14
55,13,ward,"{1: {'green': '95.81%', 'red': '4.19%'}, 2: {'green': '10.11%', 'red': '89.89%'}}",0.4794960884729616,85.7
56,14,single,"{1: {'green': '10.87%', 'red': '89.13%'}, 2: {'green': '95.56%', 'red': '4.44%'}}",0.39953801015461093,84.69
57,14,complete,"{1: {'green': '74.03%', 'red': '25.97%'}}",-1.0,0.0
58,14,average,"{1: {'green': '10.87%', 'red': '89.13%'}, 2: {'green': '95.56%', 'red': '4.44%'}}",0.39953801015461093,84.69
59,14,ward,"{1: {'green': '10.87%', 'red': '89.13%'}, 2: {'green': '95.56%', 'red': '4.44%'}}",0.39953801015461093,84.69
60,15,single,"{1: {'green': '12.5%', 'red': '87.5%'}, 2: {'green': '97.62%', 'red': '2.38%'}}",0.3478232491697984,85.12
61,15,complete,"{1: {'green': '50.53%', 'red': '49.47%'}}",-1.0,0.0
62,15,average,"{1: {'green': '97.62%', 'red': '2.38%'}, 2: {'green': '12.5%', 'red': '87.5%'}}",0.3478232491697984,85.12
63,15,ward,"{1: {'green': '97.62%', 'red': '2.38%'}, 2: {'green': '12.5%', 'red': '87.5%'}}",0.3478232491697984,85.12
64,16,single,"{1: {'green': '96.62%', 'red': '3.38%'}, 2: {'green': '12.0%', 'red': '88.0%'}}",0.32957409286874056,84.62
65,16,complete,"{1: {'green': '75.25%', 'red': '24.75%'}}",-1.0,0.0
66,16,average,"{1: {'green': '12.0%', 'red': '88.0%'}, 2: {'green': '96.62%', 'red': '3.38%'}}",0.32957409286874056,84.62
67,16,ward,"{1: {'green': '12.0%', 'red': '88.0%'}, 2: {'green': '96.62%', 'red': '3.38%'}}",0.32957409286874056,84.62
68,17,single,"{1: {'green': '9.62%', 'red': '90.38%'}, 2: {'green': '94.7%', 'red': '5.3%'}}",0.3133943188204854,85.08
69,17,complete,"{1: {'green': '57.2%', 'red': '42.8%'}}",-1.0,0.0
70,17,average,"{1: {'green': '9.62%', 'red': '90.38%'}, 2: {'green': '94.7%', 'red': '5.3%'}}",0.3133943188204854,85.08
71,17,ward,"{1: {'green': '8.91%', 'red': '91.09%'}, 2: {'green': '93.33%', 'red': '6.67%'}}",0.3129834830226378,84.42
72,18,single,"{1: {'green': '56.13%', 'red': '43.87%'}, 2: {'green': '0.0%', 'red': '100.0%'}}",0.24182909450096698,56.13
73,18,complete,"{1: {'green': '55.93%', 'red': '44.07%'}}",-1.0,0.0
