,Seed,Linkage Method,Cluster Color Percentage,Silhouette Score,Maximum Color Separation
0,0,single,"{1: {'green': '17.31%', 'red': '82.69%'}, 2: {'green': '92.59%', 'red': '7.41%'}}",0.5560987251097275,"{1: 65.38, 2: 85.18}"
1,0,complete,"{1: {'green': '17.31%', 'red': '82.69%'}, 2: {'green': '92.59%', 'red': '7.41%'}}",0.5560987251097275,"{1: 65.38, 2: 85.18}"
2,0,average,"{1: {'green': '17.31%', 'red': '82.69%'}, 2: {'green': '92.59%', 'red': '7.41%'}}",0.5560987251097275,"{1: 65.38, 2: 85.18}"
3,0,ward,"{1: {'green': '17.31%', 'red': '82.69%'}, 2: {'green': '92.59%', 'red': '7.41%'}}",0.5560987251097275,"{1: 65.38, 2: 85.18}"
4,1,single,"{1: {'green': '3.23%', 'red': '96.77%'}, 2: {'green': '77.5%', 'red': '22.5%'}}",0.42859087171392285,"{1: 93.53999999999999, 2: 55.0}"
5,1,complete,"{1: {'green': '32.35%', 'red': '67.65%'}}",-1.0,{1: 35.300000000000004}
6,1,average,"{1: {'green': '77.5%', 'red': '22.5%'}, 2: {'green': '3.23%', 'red': '96.77%'}}",0.42859087171392285,"{1: 55.0, 2: 93.53999999999999}"
7,1,ward,"{1: {'green': '3.23%', 'red': '96.77%'}, 2: {'green': '77.5%', 'red': '22.5%'}}",0.42859087171392285,"{1: 93.53999999999999, 2: 55.0}"
8,2,single,"{1: {'green': '25.0%', 'red': '75.0%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.5581141651059166,"{1: 50.0, 2: 100.0}"
9,2,complete,"{1: {'green': '25.0%', 'red': '75.0%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.5581141651059166,"{1: 50.0, 2: 100.0}"
10,2,average,"{1: {'green': '25.0%', 'red': '75.0%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.5581141651059166,"{1: 50.0, 2: 100.0}"
11,2,ward,"{1: {'green': '25.0%', 'red': '75.0%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.5581141651059166,"{1: 50.0, 2: 100.0}"
12,3,single,"{1: {'green': '8.82%', 'red': '91.18%'}, 2: {'green': '93.94%', 'red': '6.06%'}}",0.5296271341585124,"{1: 82.36000000000001, 2: 87.88}"
13,3,complete,"{1: {'green': '93.94%', 'red': '6.06%'}, 2: {'green': '8.82%', 'red': '91.18%'}}",0.5296271341585124,"{1: 87.88, 2: 82.36000000000001}"
14,3,average,"{1: {'green': '93.94%', 'red': '6.06%'}, 2: {'green': '8.82%', 'red': '91.18%'}}",0.5296271341585124,"{1: 87.88, 2: 82.36000000000001}"
15,3,ward,"{1: {'green': '8.82%', 'red': '91.18%'}, 2: {'green': '93.94%', 'red': '6.06%'}}",0.5296271341585124,"{1: 82.36000000000001, 2: 87.88}"
16,4,single,"{1: {'green': '17.54%', 'red': '82.46%'}, 2: {'green': '92.86%', 'red': '7.14%'}}",0.5869014625661161,"{1: 64.91999999999999, 2: 85.72}"
17,4,complete,"{1: {'green': '54.87%', 'red': '45.13%'}}",-1.0,{1: 9.739999999999995}
18,4,average,"{1: {'green': '17.54%', 'red': '82.46%'}, 2: {'green': '92.86%', 'red': '7.14%'}}",0.5869014625661161,"{1: 64.91999999999999, 2: 85.72}"
19,4,ward,"{1: {'green': '17.54%', 'red': '82.46%'}, 2: {'green': '92.86%', 'red': '7.14%'}}",0.5869014625661161,"{1: 64.91999999999999, 2: 85.72}"
20,5,single,"{1: {'green': '90.16%', 'red': '9.84%'}, 2: {'green': '12.5%', 'red': '87.5%'}}",0.5903717732908702,"{1: 80.32, 2: 75.0}"
21,5,complete,"{1: {'green': '50.4%', 'red': '49.6%'}}",-1.0,{1: 0.7999999999999972}
22,5,average,"{1: {'green': '90.16%', 'red': '9.84%'}, 2: {'green': '12.5%', 'red': '87.5%'}}",0.5903717732908702,"{1: 80.32, 2: 75.0}"
23,5,ward,"{1: {'green': '90.16%', 'red': '9.84%'}, 2: {'green': '12.5%', 'red': '87.5%'}}",0.5903717732908702,"{1: 80.32, 2: 75.0}"
24,6,single,"{1: {'green': '87.04%', 'red': '12.96%'}, 2: {'green': '6.25%', 'red': '93.75%'}}",0.576078588147542,"{1: 74.08000000000001, 2: 87.5}"
25,6,complete,"{1: {'green': '43.22%', 'red': '56.78%'}}",-1.0,{1: 13.560000000000002}
26,6,average,"{1: {'green': '87.04%', 'red': '12.96%'}, 2: {'green': '6.25%', 'red': '93.75%'}}",0.576078588147542,"{1: 74.08000000000001, 2: 87.5}"
27,6,ward,"{1: {'green': '87.04%', 'red': '12.96%'}, 2: {'green': '6.25%', 'red': '93.75%'}}",0.576078588147542,"{1: 74.08000000000001, 2: 87.5}"
28,7,single,"{1: {'green': '84.31%', 'red': '15.69%'}, 2: {'green': '9.23%', 'red': '90.77%'}}",0.6586828636484556,"{1: 68.62, 2: 81.53999999999999}"
29,7,complete,"{1: {'green': '84.31%', 'red': '15.69%'}, 2: {'green': '9.23%', 'red': '90.77%'}}",0.6586828636484556,"{1: 68.62, 2: 81.53999999999999}"
